cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the im wcl selected dataset.
------------------ Start to select subsets ------------------
Select 38000 samples
Load selected sample idx
Selected 38000 samples for a fair comparison.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/149   Step: 34s715ms | Tot: 0ms | Loss: 0.309 | Acc: 90.234% (231/256)              
 [>................................................................] 2/149   Step: 1s967ms | Tot: 1s967ms | Loss: 0.313 | Acc: 90.430% (463/512)              
 [>................................................................] 3/149   Step: 966ms | Tot: 2s934ms | Loss: 0.363 | Acc: 88.411% (679/768)              
 [=>...............................................................] 4/149   Step: 1s188ms | Tot: 4s122ms | Loss: 0.362 | Acc: 88.672% (908/1024)              
 [=>...............................................................] 5/149   Step: 955ms | Tot: 5s78ms | Loss: 0.347 | Acc: 89.219% (1142/1280)              
 [==>..............................................................] 6/149   Step: 959ms | Tot: 6s38ms | Loss: 0.341 | Acc: 89.583% (1376/1536)              
 [==>..............................................................] 7/149   Step: 955ms | Tot: 6s993ms | Loss: 0.335 | Acc: 89.732% (1608/1792)              
 [===>.............................................................] 8/149   Step: 961ms | Tot: 7s955ms | Loss: 0.332 | Acc: 89.795% (1839/2048)              
 [===>.............................................................] 9/149   Step: 1s64ms | Tot: 9s20ms | Loss: 0.324 | Acc: 90.061% (2075/2304)              
 [===>.............................................................] 10/149   Step: 965ms | Tot: 9s985ms | Loss: 0.319 | Acc: 90.312% (2312/2560)              
 [====>............................................................] 11/149   Step: 961ms | Tot: 10s947ms | Loss: 0.314 | Acc: 90.341% (2544/2816)              
 [====>............................................................] 12/149   Step: 952ms | Tot: 11s900ms | Loss: 0.308 | Acc: 90.560% (2782/3072)              
 [=====>...........................................................] 13/149   Step: 956ms | Tot: 12s857ms | Loss: 0.310 | Acc: 90.685% (3018/3328)              
 [=====>...........................................................] 14/149   Step: 1s80ms | Tot: 13s937ms | Loss: 0.309 | Acc: 90.792% (3254/3584)              
 [======>..........................................................] 15/149   Step: 962ms | Tot: 14s900ms | Loss: 0.308 | Acc: 90.859% (3489/3840)              
 [======>..........................................................] 16/149   Step: 959ms | Tot: 15s859ms | Loss: 0.300 | Acc: 91.162% (3734/4096)              
 [======>..........................................................] 17/149   Step: 957ms | Tot: 16s817ms | Loss: 0.298 | Acc: 91.268% (3972/4352)              
 [=======>.........................................................] 18/149   Step: 958ms | Tot: 17s775ms | Loss: 0.297 | Acc: 91.298% (4207/4608)              
 [=======>.........................................................] 19/149   Step: 1s69ms | Tot: 18s844ms | Loss: 0.293 | Acc: 91.406% (4446/4864)              
 [========>........................................................] 20/149   Step: 970ms | Tot: 19s814ms | Loss: 0.289 | Acc: 91.484% (4684/5120)              
 [========>........................................................] 21/149   Step: 961ms | Tot: 20s776ms | Loss: 0.283 | Acc: 91.685% (4929/5376)              
 [=========>.......................................................] 22/149   Step: 968ms | Tot: 21s745ms | Loss: 0.282 | Acc: 91.708% (5165/5632)              
 [=========>.......................................................] 23/149   Step: 1s74ms | Tot: 22s819ms | Loss: 0.280 | Acc: 91.763% (5403/5888)              
 [==========>......................................................] 24/149   Step: 967ms | Tot: 23s786ms | Loss: 0.280 | Acc: 91.748% (5637/6144)              
 [==========>......................................................] 25/149   Step: 986ms | Tot: 24s773ms | Loss: 0.277 | Acc: 91.844% (5878/6400)              
 [==========>......................................................] 26/149   Step: 960ms | Tot: 25s733ms | Loss: 0.275 | Acc: 91.902% (6117/6656)              
 [===========>.....................................................] 27/149   Step: 956ms | Tot: 26s690ms | Loss: 0.272 | Acc: 92.043% (6362/6912)              
 [===========>.....................................................] 28/149   Step: 1s103ms | Tot: 27s793ms | Loss: 0.270 | Acc: 92.076% (6600/7168)              
 [============>....................................................] 29/149   Step: 961ms | Tot: 28s755ms | Loss: 0.266 | Acc: 92.214% (6846/7424)              
 [============>....................................................] 30/149   Step: 971ms | Tot: 29s726ms | Loss: 0.265 | Acc: 92.227% (7083/7680)              
 [=============>...................................................] 31/149   Step: 959ms | Tot: 30s686ms | Loss: 0.262 | Acc: 92.326% (7327/7936)              
 [=============>...................................................] 32/149   Step: 1s74ms | Tot: 31s760ms | Loss: 0.260 | Acc: 92.419% (7571/8192)              
 [=============>...................................................] 33/149   Step: 960ms | Tot: 32s720ms | Loss: 0.259 | Acc: 92.483% (7813/8448)              
 [==============>..................................................] 34/149   Step: 956ms | Tot: 33s677ms | Loss: 0.258 | Acc: 92.532% (8054/8704)              
 [==============>..................................................] 35/149   Step: 979ms | Tot: 34s656ms | Loss: 0.255 | Acc: 92.623% (8299/8960)              
 [===============>.................................................] 36/149   Step: 960ms | Tot: 35s617ms | Loss: 0.255 | Acc: 92.611% (8535/9216)              
 [===============>.................................................] 37/149   Step: 1s69ms | Tot: 36s686ms | Loss: 0.253 | Acc: 92.641% (8775/9472)              
 [================>................................................] 38/149   Step: 961ms | Tot: 37s648ms | Loss: 0.252 | Acc: 92.701% (9018/9728)              
 [================>................................................] 39/149   Step: 957ms | Tot: 38s605ms | Loss: 0.250 | Acc: 92.738% (9259/9984)              
 [=================>...............................................] 40/149   Step: 965ms | Tot: 39s571ms | Loss: 0.248 | Acc: 92.793% (9502/10240)              
 [=================>...............................................] 41/149   Step: 1s73ms | Tot: 40s644ms | Loss: 0.246 | Acc: 92.845% (9745/10496)              
 [=================>...............................................] 42/149   Step: 969ms | Tot: 41s614ms | Loss: 0.244 | Acc: 92.950% (9994/10752)              
 [==================>..............................................] 43/149   Step: 953ms | Tot: 42s568ms | Loss: 0.243 | Acc: 93.005% (10238/11008)              
 [==================>..............................................] 44/149   Step: 955ms | Tot: 43s523ms | Loss: 0.243 | Acc: 92.995% (10475/11264)              
 [===================>.............................................] 45/149   Step: 972ms | Tot: 44s496ms | Loss: 0.242 | Acc: 93.038% (10718/11520)              
 [===================>.............................................] 46/149   Step: 1s65ms | Tot: 45s561ms | Loss: 0.240 | Acc: 93.096% (10963/11776)              
 [====================>............................................] 47/149   Step: 965ms | Tot: 46s526ms | Loss: 0.240 | Acc: 93.077% (11199/12032)              
 [====================>............................................] 48/149   Step: 960ms | Tot: 47s486ms | Loss: 0.238 | Acc: 93.148% (11446/12288)              
 [====================>............................................] 49/149   Step: 963ms | Tot: 48s450ms | Loss: 0.236 | Acc: 93.176% (11688/12544)              
 [=====================>...........................................] 50/149   Step: 969ms | Tot: 49s419ms | Loss: 0.235 | Acc: 93.234% (11934/12800)              
 [=====================>...........................................] 51/149   Step: 1s110ms | Tot: 50s530ms | Loss: 0.233 | Acc: 93.237% (12173/13056)              
 [======================>..........................................] 52/149   Step: 958ms | Tot: 51s488ms | Loss: 0.232 | Acc: 93.277% (12417/13312)              
 [======================>..........................................] 53/149   Step: 955ms | Tot: 52s444ms | Loss: 0.231 | Acc: 93.300% (12659/13568)              
 [=======================>.........................................] 54/149   Step: 955ms | Tot: 53s400ms | Loss: 0.230 | Acc: 93.338% (12903/13824)              
 [=======================>.........................................] 55/149   Step: 990ms | Tot: 54s391ms | Loss: 0.230 | Acc: 93.374% (13147/14080)              
 [=======================>.........................................] 56/149   Step: 1s69ms | Tot: 55s460ms | Loss: 0.229 | Acc: 93.422% (13393/14336)              
 [========================>........................................] 57/149   Step: 960ms | Tot: 56s421ms | Loss: 0.227 | Acc: 93.469% (13639/14592)              
 [========================>........................................] 58/149   Step: 957ms | Tot: 57s378ms | Loss: 0.227 | Acc: 93.508% (13884/14848)              
 [=========================>.......................................] 59/149   Step: 960ms | Tot: 58s339ms | Loss: 0.226 | Acc: 93.545% (14129/15104)              
 [=========================>.......................................] 60/149   Step: 1s65ms | Tot: 59s404ms | Loss: 0.225 | Acc: 93.581% (14374/15360)              
 [==========================>......................................] 61/149   Step: 961ms | Tot: 1m366ms | Loss: 0.223 | Acc: 93.628% (14621/15616)              
 [==========================>......................................] 62/149   Step: 957ms | Tot: 1m1s | Loss: 0.222 | Acc: 93.643% (14863/15872)              
 [===========================>.....................................] 63/149   Step: 962ms | Tot: 1m2s | Loss: 0.222 | Acc: 93.645% (15103/16128)              
 [===========================>.....................................] 64/149   Step: 962ms | Tot: 1m3s | Loss: 0.221 | Acc: 93.671% (15347/16384)              
 [===========================>.....................................] 65/149   Step: 1s85ms | Tot: 1m4s | Loss: 0.220 | Acc: 93.738% (15598/16640)              
 [============================>....................................] 66/149   Step: 958ms | Tot: 1m5s | Loss: 0.218 | Acc: 93.786% (15846/16896)              
 [============================>....................................] 67/149   Step: 956ms | Tot: 1m6s | Loss: 0.218 | Acc: 93.785% (16086/17152)              
 [=============================>...................................] 68/149   Step: 956ms | Tot: 1m7s | Loss: 0.217 | Acc: 93.848% (16337/17408)              
 [=============================>...................................] 69/149   Step: 955ms | Tot: 1m8s | Loss: 0.216 | Acc: 93.875% (16582/17664)              
 [==============================>..................................] 70/149   Step: 1s83ms | Tot: 1m9s | Loss: 0.215 | Acc: 93.906% (16828/17920)              
 [==============================>..................................] 71/149   Step: 963ms | Tot: 1m10s | Loss: 0.215 | Acc: 93.932% (17073/18176)              
 [==============================>..................................] 72/149   Step: 953ms | Tot: 1m11s | Loss: 0.214 | Acc: 93.956% (17318/18432)              
 [===============================>.................................] 73/149   Step: 969ms | Tot: 1m12s | Loss: 0.213 | Acc: 93.953% (17558/18688)              
 [===============================>.................................] 74/149   Step: 972ms | Tot: 1m13s | Loss: 0.212 | Acc: 93.982% (17804/18944)              
 [================================>................................] 75/149   Step: 1s84ms | Tot: 1m14s | Loss: 0.211 | Acc: 94.026% (18053/19200)              
 [================================>................................] 76/149   Step: 958ms | Tot: 1m15s | Loss: 0.210 | Acc: 94.074% (18303/19456)              
 [=================================>...............................] 77/149   Step: 954ms | Tot: 1m16s | Loss: 0.209 | Acc: 94.095% (18548/19712)              
 [=================================>...............................] 78/149   Step: 957ms | Tot: 1m17s | Loss: 0.208 | Acc: 94.121% (18794/19968)              
 [==================================>..............................] 79/149   Step: 958ms | Tot: 1m18s | Loss: 0.207 | Acc: 94.155% (19042/20224)              
 [==================================>..............................] 80/149   Step: 1s104ms | Tot: 1m19s | Loss: 0.206 | Acc: 94.189% (19290/20480)              
 [==================================>..............................] 81/149   Step: 956ms | Tot: 1m20s | Loss: 0.205 | Acc: 94.198% (19533/20736)              
 [===================================>.............................] 82/149   Step: 958ms | Tot: 1m21s | Loss: 0.204 | Acc: 94.241% (19783/20992)              
 [===================================>.............................] 83/149   Step: 951ms | Tot: 1m21s | Loss: 0.203 | Acc: 94.287% (20034/21248)              
 [====================================>............................] 84/149   Step: 956ms | Tot: 1m22s | Loss: 0.203 | Acc: 94.313% (20281/21504)              
 [====================================>............................] 85/149   Step: 1s89ms | Tot: 1m24s | Loss: 0.202 | Acc: 94.324% (20525/21760)              
 [=====================================>...........................] 86/149   Step: 958ms | Tot: 1m24s | Loss: 0.202 | Acc: 94.327% (20767/22016)              
 [=====================================>...........................] 87/149   Step: 955ms | Tot: 1m25s | Loss: 0.202 | Acc: 94.343% (21012/22272)              
 [=====================================>...........................] 88/149   Step: 956ms | Tot: 1m26s | Loss: 0.202 | Acc: 94.336% (21252/22528)              
 [======================================>..........................] 89/149   Step: 1s66ms | Tot: 1m27s | Loss: 0.202 | Acc: 94.343% (21495/22784)              
 [======================================>..........................] 90/149   Step: 956ms | Tot: 1m28s | Loss: 0.201 | Acc: 94.375% (21744/23040)              
 [=======================================>.........................] 91/149   Step: 957ms | Tot: 1m29s | Loss: 0.200 | Acc: 94.381% (21987/23296)              
 [=======================================>.........................] 92/149   Step: 957ms | Tot: 1m30s | Loss: 0.200 | Acc: 94.412% (22236/23552)              
 [========================================>........................] 93/149   Step: 958ms | Tot: 1m31s | Loss: 0.199 | Acc: 94.435% (22483/23808)              
 [========================================>........................] 94/149   Step: 1s66ms | Tot: 1m32s | Loss: 0.198 | Acc: 94.456% (22730/24064)              
 [=========================================>.......................] 95/149   Step: 957ms | Tot: 1m33s | Loss: 0.198 | Acc: 94.494% (22981/24320)              
