cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the bwcl selected dataset.
Now try to run the BWCL algorithm
10347 boundary samples
Load selected sample idx
Selected 35999 samples for a fair comparison.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/141   Step: 38s364ms | Tot: 0ms | Loss: 0.297 | Acc: 91.406% (234/256)              
 [>................................................................] 2/141   Step: 1s948ms | Tot: 1s948ms | Loss: 0.281 | Acc: 91.797% (470/512)              
 [>................................................................] 3/141   Step: 970ms | Tot: 2s919ms | Loss: 0.302 | Acc: 90.755% (697/768)              
 [=>...............................................................] 4/141   Step: 1s181ms | Tot: 4s100ms | Loss: 0.296 | Acc: 90.918% (931/1024)              
 [=>...............................................................] 5/141   Step: 970ms | Tot: 5s71ms | Loss: 0.283 | Acc: 91.562% (1172/1280)              
 [==>..............................................................] 6/141   Step: 964ms | Tot: 6s35ms | Loss: 0.286 | Acc: 91.471% (1405/1536)              
 [==>..............................................................] 7/141   Step: 969ms | Tot: 7s4ms | Loss: 0.287 | Acc: 91.183% (1634/1792)              
 [===>.............................................................] 8/141   Step: 962ms | Tot: 7s967ms | Loss: 0.284 | Acc: 91.211% (1868/2048)              
 [===>.............................................................] 9/141   Step: 1s77ms | Tot: 9s44ms | Loss: 0.279 | Acc: 91.406% (2106/2304)              
 [====>............................................................] 10/141   Step: 964ms | Tot: 10s9ms | Loss: 0.272 | Acc: 91.758% (2349/2560)              
 [====>............................................................] 11/141   Step: 971ms | Tot: 10s980ms | Loss: 0.267 | Acc: 92.045% (2592/2816)              
 [=====>...........................................................] 12/141   Step: 961ms | Tot: 11s942ms | Loss: 0.268 | Acc: 91.927% (2824/3072)              
 [=====>...........................................................] 13/141   Step: 1s74ms | Tot: 13s16ms | Loss: 0.263 | Acc: 92.097% (3065/3328)              
 [=====>...........................................................] 14/141   Step: 971ms | Tot: 13s988ms | Loss: 0.261 | Acc: 92.243% (3306/3584)              
 [======>..........................................................] 15/141   Step: 973ms | Tot: 14s961ms | Loss: 0.256 | Acc: 92.500% (3552/3840)              
 [=======================>.........................................] 51/141   Step: 970ms | Tot: 50s696ms | Loss: 0.197 | Acc: 94.447% (12331/13056)              
 [=======================>.........................................] 52/141   Step: 966ms | Tot: 51s663ms | Loss: 0.196 | Acc: 94.509% (12581/13312)              
 [=======================>.........................................] 53/141   Step: 961ms | Tot: 52s624ms | Loss: 0.196 | Acc: 94.517% (12824/13568)              
 [========================>........................................] 54/141   Step: 964ms | Tot: 53s589ms | Loss: 0.195 | Acc: 94.546% (13070/13824)              
 [========================>........................................] 55/141   Step: 1s74ms | Tot: 54s664ms | Loss: 0.194 | Acc: 94.567% (13315/14080)              
 [=========================>.......................................] 56/141   Step: 965ms | Tot: 55s630ms | Loss: 0.194 | Acc: 94.587% (13560/14336)              
 [=========================>.......................................] 57/141   Step: 957ms | Tot: 56s588ms | Loss: 0.192 | Acc: 94.641% (13810/14592)              
 [==========================>......................................] 58/141   Step: 956ms | Tot: 57s544ms | Loss: 0.191 | Acc: 94.700% (14061/14848)              
 [==========================>......................................] 59/141   Step: 957ms | Tot: 58s502ms | Loss: 0.190 | Acc: 94.710% (14305/15104)              
 [===========================>.....................................] 60/141   Step: 1s71ms | Tot: 59s574ms | Loss: 0.188 | Acc: 94.746% (14553/15360)              
 [===========================>.....................................] 61/141   Step: 970ms | Tot: 1m544ms | Loss: 0.188 | Acc: 94.775% (14800/15616)              
 [============================>....................................] 62/141   Step: 975ms | Tot: 1m1s | Loss: 0.187 | Acc: 94.777% (15043/15872)              
 [============================>....................................] 63/141   Step: 958ms | Tot: 1m2s | Loss: 0.186 | Acc: 94.816% (15292/16128)              
 [=============================>...................................] 64/141   Step: 1s86ms | Tot: 1m3s | Loss: 0.186 | Acc: 94.843% (15539/16384)              
 [=============================>...................................] 65/141   Step: 974ms | Tot: 1m4s | Loss: 0.184 | Acc: 94.868% (15786/16640)              
 [=============================>...................................] 66/141   Step: 966ms | Tot: 1m5s | Loss: 0.184 | Acc: 94.875% (16030/16896)              
 [==============================>..................................] 67/141   Step: 958ms | Tot: 1m6s | Loss: 0.184 | Acc: 94.893% (16276/17152)              
