cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the egdis selected dataset.
Now try to run the algorithm EGDIS with the generated sample dataset.
Selected 12592 samples
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [===============================================================>.] 50/50   Step: 7s802ms | Tot: 55s424ms | Loss: 0.144 | Acc: 96.172% (12110/12592)
 [>................................................................] 1/40   Step: 1s76ms | Tot: 0ms | Loss: 2.115 | Acc: 49.609% (127/256)              
 [=>...............................................................] 2/40   Step: 430ms | Tot: 430ms | Loss: 2.120 | Acc: 49.805% (255/512)              
 [===>.............................................................] 3/40   Step: 420ms | Tot: 850ms | Loss: 2.077 | Acc: 52.214% (401/768)              
 [====>............................................................] 4/40   Step: 418ms | Tot: 1s268ms | Loss: 2.148 | Acc: 52.832% (541/1024)              
 [======>..........................................................] 5/40   Step: 417ms | Tot: 1s686ms | Loss: 2.177 | Acc: 53.125% (680/1280)              
 [========>........................................................] 6/40   Step: 573ms | Tot: 2s259ms | Loss: 2.192 | Acc: 53.776% (826/1536)              
 [=========>.......................................................] 7/40   Step: 416ms | Tot: 2s676ms | Loss: 2.237 | Acc: 53.292% (955/1792)              
 [===========>.....................................................] 8/40   Step: 413ms | Tot: 3s90ms | Loss: 2.239 | Acc: 53.711% (1100/2048)              
 [=============>...................................................] 9/40   Step: 416ms | Tot: 3s506ms | Loss: 2.217 | Acc: 54.210% (1249/2304)              
 [==============>..................................................] 10/40   Step: 416ms | Tot: 3s923ms | Loss: 2.219 | Acc: 54.180% (1387/2560)              
 [================>................................................] 11/40   Step: 519ms | Tot: 4s443ms | Loss: 2.203 | Acc: 54.119% (1524/2816)              
 [=================>...............................................] 12/40   Step: 418ms | Tot: 4s861ms | Loss: 2.199 | Acc: 54.134% (1663/3072)              
 [===================>.............................................] 13/40   Step: 414ms | Tot: 5s275ms | Loss: 2.187 | Acc: 54.387% (1810/3328)              
 [=====================>...........................................] 14/40   Step: 426ms | Tot: 5s702ms | Loss: 2.202 | Acc: 54.102% (1939/3584)              
 [======================>..........................................] 15/40   Step: 434ms | Tot: 6s136ms | Loss: 2.217 | Acc: 54.010% (2074/3840)              
 [========================>........................................] 16/40   Step: 419ms | Tot: 6s555ms | Loss: 2.225 | Acc: 54.004% (2212/4096)              
 [==========================>......................................] 17/40   Step: 522ms | Tot: 7s78ms | Loss: 2.233 | Acc: 53.906% (2346/4352)              
 [===========================>.....................................] 18/40   Step: 417ms | Tot: 7s495ms | Loss: 2.231 | Acc: 53.776% (2478/4608)              
 [=============================>...................................] 19/40   Step: 420ms | Tot: 7s916ms | Loss: 2.224 | Acc: 53.701% (2612/4864)              
 [==============================>..................................] 20/40   Step: 416ms | Tot: 8s333ms | Loss: 2.216 | Acc: 53.887% (2759/5120)              
 [================================>................................] 21/40   Step: 419ms | Tot: 8s752ms | Loss: 2.211 | Acc: 53.795% (2892/5376)              
 [==================================>..............................] 22/40   Step: 520ms | Tot: 9s272ms | Loss: 2.209 | Acc: 53.622% (3020/5632)              
 [===================================>.............................] 23/40   Step: 422ms | Tot: 9s695ms | Loss: 2.212 | Acc: 53.584% (3155/5888)              
 [=====================================>...........................] 24/40   Step: 419ms | Tot: 10s115ms | Loss: 2.222 | Acc: 53.369% (3279/6144)              
 [=======================================>.........................] 25/40   Step: 417ms | Tot: 10s532ms | Loss: 2.202 | Acc: 53.562% (3428/6400)              
 [========================================>........................] 26/40   Step: 422ms | Tot: 10s954ms | Loss: 2.194 | Acc: 53.726% (3576/6656)              
 [==========================================>......................] 27/40   Step: 529ms | Tot: 11s483ms | Loss: 2.194 | Acc: 53.733% (3714/6912)              
 [===========================================>.....................] 28/40   Step: 421ms | Tot: 11s905ms | Loss: 2.195 | Acc: 53.795% (3856/7168)              
 [=============================================>...................] 29/40   Step: 419ms | Tot: 12s325ms | Loss: 2.200 | Acc: 53.825% (3996/7424)              
 [===============================================>.................] 30/40   Step: 417ms | Tot: 12s742ms | Loss: 2.194 | Acc: 53.854% (4136/7680)              
 [================================================>................] 31/40   Step: 414ms | Tot: 13s157ms | Loss: 2.195 | Acc: 53.780% (4268/7936)              
 [==================================================>..............] 32/40   Step: 413ms | Tot: 13s570ms | Loss: 2.193 | Acc: 53.784% (4406/8192)              
 [====================================================>............] 33/40   Step: 522ms | Tot: 14s92ms | Loss: 2.191 | Acc: 53.812% (4546/8448)              
 [=====================================================>...........] 34/40   Step: 415ms | Tot: 14s508ms | Loss: 2.197 | Acc: 53.745% (4678/8704)              
 [=======================================================>.........] 35/40   Step: 417ms | Tot: 14s926ms | Loss: 2.198 | Acc: 53.694% (4811/8960)              
 [========================================================>........] 36/40   Step: 379ms | Tot: 15s306ms | Loss: 2.196 | Acc: 53.689% (4948/9216)              
 [==========================================================>......] 37/40   Step: 375ms | Tot: 15s681ms | Loss: 2.200 | Acc: 53.653% (5082/9472)              
 [============================================================>....] 38/40   Step: 498ms | Tot: 16s180ms | Loss: 2.197 | Acc: 53.660% (5220/9728)              
 [=============================================================>...] 39/40   Step: 373ms | Tot: 16s554ms | Loss: 2.203 | Acc: 53.606% (5352/9984)              
 [===============================================================>.] 40/40   Step: 2s382ms | Tot: 18s937ms | Loss: 2.205 | Acc: 53.590% (5359/10000)
Saving with better validation accuracy model: 53.590..

Epoch: 1
 [>................................................................] 1/50   Step: 2s938ms | Tot: 0ms | Loss: 0.078 | Acc: 97.656% (250/256)              
 [=>...............................................................] 2/50   Step: 972ms | Tot: 972ms | Loss: 0.069 | Acc: 98.633% (505/512)              
 [==>..............................................................] 3/50   Step: 1s120ms | Tot: 2s93ms | Loss: 0.067 | Acc: 98.698% (758/768)              
 [===>.............................................................] 4/50   Step: 957ms | Tot: 3s50ms | Loss: 0.072 | Acc: 98.535% (1009/1024)              
 [=====>...........................................................] 5/50   Step: 977ms | Tot: 4s27ms | Loss: 0.071 | Acc: 98.672% (1263/1280)              
 [======>..........................................................] 6/50   Step: 972ms | Tot: 4s999ms | Loss: 0.066 | Acc: 98.893% (1519/1536)              
 [=======>.........................................................] 7/50   Step: 961ms | Tot: 5s960ms | Loss: 0.066 | Acc: 98.828% (1771/1792)              
 [=========>.......................................................] 8/50   Step: 1s103ms | Tot: 7s64ms | Loss: 0.068 | Acc: 98.877% (2025/2048)              
 [==========>......................................................] 9/50   Step: 959ms | Tot: 8s24ms | Loss: 0.069 | Acc: 98.785% (2276/2304)              
 [===========>.....................................................] 10/50   Step: 960ms | Tot: 8s985ms | Loss: 0.069 | Acc: 98.867% (2531/2560)              
 [=============>...................................................] 11/50   Step: 953ms | Tot: 9s938ms | Loss: 0.069 | Acc: 98.828% (2783/2816)              
 [==============>..................................................] 12/50   Step: 960ms | Tot: 10s898ms | Loss: 0.068 | Acc: 98.861% (3037/3072)              
 [===============>.................................................] 13/50   Step: 1s71ms | Tot: 11s970ms | Loss: 0.067 | Acc: 98.888% (3291/3328)              
 [================>................................................] 14/50   Step: 967ms | Tot: 12s937ms | Loss: 0.066 | Acc: 98.940% (3546/3584)              
 [==================>..............................................] 15/50   Step: 984ms | Tot: 13s922ms | Loss: 0.065 | Acc: 98.932% (3799/3840)              
 [===================>.............................................] 16/50   Step: 964ms | Tot: 14s887ms | Loss: 0.065 | Acc: 98.975% (4054/4096)              
 [====================>............................................] 17/50   Step: 966ms | Tot: 15s853ms | Loss: 0.065 | Acc: 99.012% (4309/4352)              
 [======================>..........................................] 18/50   Step: 1s83ms | Tot: 16s937ms | Loss: 0.064 | Acc: 99.023% (4563/4608)              
 [=======================>.........................................] 19/50   Step: 965ms | Tot: 17s903ms | Loss: 0.063 | Acc: 99.054% (4818/4864)              
 [========================>........................................] 20/50   Step: 965ms | Tot: 18s868ms | Loss: 0.062 | Acc: 99.102% (5074/5120)              
 [==========================>......................................] 21/50   Step: 956ms | Tot: 19s825ms | Loss: 0.061 | Acc: 99.144% (5330/5376)              
 [===========================>.....................................] 22/50   Step: 961ms | Tot: 20s786ms | Loss: 0.062 | Acc: 99.112% (5582/5632)              
 [============================>....................................] 23/50   Step: 1s58ms | Tot: 21s845ms | Loss: 0.061 | Acc: 99.117% (5836/5888)              
 [=============================>...................................] 24/50   Step: 952ms | Tot: 22s797ms | Loss: 0.061 | Acc: 99.105% (6089/6144)              
 [===============================>.................................] 25/50   Step: 948ms | Tot: 23s745ms | Loss: 0.061 | Acc: 99.109% (6343/6400)              
 [================================>................................] 26/50   Step: 964ms | Tot: 24s710ms | Loss: 0.061 | Acc: 99.099% (6596/6656)              
 [=================================>...............................] 27/50   Step: 1s61ms | Tot: 25s771ms | Loss: 0.061 | Acc: 99.103% (6850/6912)              
 [===================================>.............................] 28/50   Step: 954ms | Tot: 26s726ms | Loss: 0.061 | Acc: 99.121% (7105/7168)              
 [====================================>............................] 29/50   Step: 952ms | Tot: 27s678ms | Loss: 0.060 | Acc: 99.151% (7361/7424)              
 [=====================================>...........................] 30/50   Step: 957ms | Tot: 28s635ms | Loss: 0.060 | Acc: 99.154% (7615/7680)              
 [=======================================>.........................] 31/50   Step: 951ms | Tot: 29s587ms | Loss: 0.059 | Acc: 99.168% (7870/7936)              
 [========================================>........................] 32/50   Step: 1s62ms | Tot: 30s649ms | Loss: 0.060 | Acc: 99.121% (8120/8192)              
 [=========================================>.......................] 33/50   Step: 950ms | Tot: 31s600ms | Loss: 0.060 | Acc: 99.136% (8375/8448)              
 [==========================================>......................] 34/50   Step: 955ms | Tot: 32s555ms | Loss: 0.060 | Acc: 99.115% (8627/8704)              
 [============================================>....................] 35/50   Step: 950ms | Tot: 33s505ms | Loss: 0.060 | Acc: 99.118% (8881/8960)              
 [=============================================>...................] 36/50   Step: 986ms | Tot: 34s491ms | Loss: 0.060 | Acc: 99.110% (9134/9216)              
 [==============================================>..................] 37/50   Step: 1s58ms | Tot: 35s549ms | Loss: 0.060 | Acc: 99.092% (9386/9472)              
 [================================================>................] 38/50   Step: 954ms | Tot: 36s504ms | Loss: 0.059 | Acc: 99.095% (9640/9728)              
 [=================================================>...............] 39/50   Step: 950ms | Tot: 37s454ms | Loss: 0.059 | Acc: 99.099% (9894/9984)              
 [==================================================>..............] 40/50   Step: 958ms | Tot: 38s413ms | Loss: 0.059 | Acc: 99.102% (10148/10240)              
 [====================================================>............] 41/50   Step: 1s51ms | Tot: 39s464ms | Loss: 0.060 | Acc: 99.085% (10400/10496)              
 [=====================================================>...........] 42/50   Step: 960ms | Tot: 40s424ms | Loss: 0.059 | Acc: 99.098% (10655/10752)              
 [======================================================>..........] 43/50   Step: 952ms | Tot: 41s377ms | Loss: 0.059 | Acc: 99.110% (10910/11008)              
 [=======================================================>.........] 44/50   Step: 954ms | Tot: 42s331ms | Loss: 0.059 | Acc: 99.121% (11165/11264)              
 [=========================================================>.......] 45/50   Step: 945ms | Tot: 43s277ms | Loss: 0.059 | Acc: 99.115% (11418/11520)              
 [==========================================================>......] 46/50   Step: 1s24ms | Tot: 44s301ms | Loss: 0.059 | Acc: 99.100% (11670/11776)              
 [===========================================================>.....] 47/50   Step: 838ms | Tot: 45s139ms | Loss: 0.059 | Acc: 99.102% (11924/12032)              
 [=============================================================>...] 48/50   Step: 840ms | Tot: 45s980ms | Loss: 0.059 | Acc: 99.080% (12175/12288)              
 [==============================================================>..] 49/50   Step: 842ms | Tot: 46s823ms | Loss: 0.059 | Acc: 99.091% (12430/12544)              
 [===============================================================>.] 50/50   Step: 906ms | Tot: 47s730ms | Loss: 0.061 | Acc: 99.015% (12468/12592)
 [>................................................................] 1/40   Step: 1s388ms | Tot: 0ms | Loss: 2.071 | Acc: 53.516% (137/256)              
 [=>...............................................................] 2/40   Step: 582ms | Tot: 582ms | Loss: 2.077 | Acc: 52.734% (270/512)              
 [===>.............................................................] 3/40   Step: 422ms | Tot: 1s5ms | Loss: 2.024 | Acc: 55.078% (423/768)              
 [====>............................................................] 4/40   Step: 418ms | Tot: 1s423ms | Loss: 2.097 | Acc: 54.297% (556/1024)              
 [======>..........................................................] 5/40   Step: 417ms | Tot: 1s841ms | Loss: 2.118 | Acc: 54.609% (699/1280)              
 [========>........................................................] 6/40   Step: 421ms | Tot: 2s262ms | Loss: 2.140 | Acc: 54.948% (844/1536)              
 [=========>.......................................................] 7/40   Step: 520ms | Tot: 2s783ms | Loss: 2.183 | Acc: 54.353% (974/1792)              
