cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the im wcl selected dataset.
------------------ Start to select subsets ------------------
Select 20000 samples
Load selected sample idx
Selected 20000 samples for a fair comparison.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/79   Step: 48s113ms | Tot: 0ms | Loss: 0.006 | Acc: 100.000% (256/256)              
 [>................................................................] 2/79   Step: 1s972ms | Tot: 1s972ms | Loss: 0.006 | Acc: 100.000% (512/512)              
 [=>...............................................................] 3/79   Step: 973ms | Tot: 2s945ms | Loss: 0.007 | Acc: 100.000% (768/768)              
 [==>..............................................................] 4/79   Step: 1s177ms | Tot: 4s123ms | Loss: 0.007 | Acc: 100.000% (1024/1024)              
 [===>.............................................................] 5/79   Step: 959ms | Tot: 5s82ms | Loss: 0.007 | Acc: 100.000% (1280/1280)              
 [====>............................................................] 6/79   Step: 963ms | Tot: 6s45ms | Loss: 0.009 | Acc: 99.935% (1535/1536)              
 [====>............................................................] 7/79   Step: 975ms | Tot: 7s21ms | Loss: 0.009 | Acc: 99.944% (1791/1792)              
 [=====>...........................................................] 8/79   Step: 969ms | Tot: 7s990ms | Loss: 0.010 | Acc: 99.902% (2046/2048)              
 [======>..........................................................] 9/79   Step: 1s62ms | Tot: 9s53ms | Loss: 0.010 | Acc: 99.913% (2302/2304)              
 [=======>.........................................................] 10/79   Step: 963ms | Tot: 10s16ms | Loss: 0.010 | Acc: 99.922% (2558/2560)              
 [========>........................................................] 11/79   Step: 962ms | Tot: 10s978ms | Loss: 0.010 | Acc: 99.929% (2814/2816)              
 [=========>.......................................................] 12/79   Step: 955ms | Tot: 11s934ms | Loss: 0.009 | Acc: 99.935% (3070/3072)              
 [=========>.......................................................] 13/79   Step: 1s72ms | Tot: 13s7ms | Loss: 0.009 | Acc: 99.940% (3326/3328)              
 [==========>......................................................] 14/79   Step: 969ms | Tot: 13s976ms | Loss: 0.009 | Acc: 99.944% (3582/3584)              
 [===========>.....................................................] 15/79   Step: 966ms | Tot: 14s942ms | Loss: 0.009 | Acc: 99.948% (3838/3840)              
 [=========================================>.......................] 51/79   Step: 1s84ms | Tot: 50s623ms | Loss: 0.009 | Acc: 99.962% (13051/13056)              
 [=========================================>.......................] 52/79   Step: 957ms | Tot: 51s581ms | Loss: 0.009 | Acc: 99.962% (13307/13312)              
 [==========================================>......................] 53/79   Step: 953ms | Tot: 52s535ms | Loss: 0.009 | Acc: 99.963% (13563/13568)              
 [===========================================>.....................] 54/79   Step: 965ms | Tot: 53s500ms | Loss: 0.009 | Acc: 99.964% (13819/13824)              
 [============================================>....................] 55/79   Step: 1s100ms | Tot: 54s601ms | Loss: 0.009 | Acc: 99.964% (14075/14080)              
 [=============================================>...................] 56/79   Step: 968ms | Tot: 55s569ms | Loss: 0.009 | Acc: 99.965% (14331/14336)              
 [==============================================>..................] 57/79   Step: 961ms | Tot: 56s531ms | Loss: 0.009 | Acc: 99.966% (14587/14592)              
 [==============================================>..................] 58/79   Step: 974ms | Tot: 57s505ms | Loss: 0.008 | Acc: 99.966% (14843/14848)              
 [===============================================>.................] 59/79   Step: 973ms | Tot: 58s478ms | Loss: 0.009 | Acc: 99.960% (15098/15104)              
 [================================================>................] 60/79   Step: 1s95ms | Tot: 59s573ms | Loss: 0.009 | Acc: 99.961% (15354/15360)              
 [=================================================>...............] 61/79   Step: 965ms | Tot: 1m539ms | Loss: 0.009 | Acc: 99.962% (15610/15616)              
 [==================================================>..............] 62/79   Step: 963ms | Tot: 1m1s | Loss: 0.008 | Acc: 99.962% (15866/15872)              
 [===================================================>.............] 63/79   Step: 966ms | Tot: 1m2s | Loss: 0.009 | Acc: 99.963% (16122/16128)              
 [===================================================>.............] 64/79   Step: 1s90ms | Tot: 1m3s | Loss: 0.009 | Acc: 99.963% (16378/16384)              
 [====================================================>............] 65/79   Step: 959ms | Tot: 1m4s | Loss: 0.009 | Acc: 99.964% (16634/16640)              
 [=====================================================>...........] 66/79   Step: 955ms | Tot: 1m5s | Loss: 0.009 | Acc: 99.964% (16890/16896)              
 [======================================================>..........] 67/79   Step: 960ms | Tot: 1m6s | Loss: 0.009 | Acc: 99.965% (17146/17152)              
