cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the im wcl selected dataset.
------------------ Start to select subsets ------------------
Select 10000 samples
Load selected sample idx
Selected 10000 samples for a fair comparison.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [================>................................................] 11/40   Step: 414ms | Tot: 4s268ms | Loss: 2.159 | Acc: 59.517% (1676/2816)              
 [=================>...............................................] 12/40   Step: 519ms | Tot: 4s788ms | Loss: 2.142 | Acc: 59.896% (1840/3072)              
 [===================>.............................................] 13/40   Step: 413ms | Tot: 5s201ms | Loss: 2.129 | Acc: 60.036% (1998/3328)              
 [=====================>...........................................] 14/40   Step: 413ms | Tot: 5s615ms | Loss: 2.152 | Acc: 59.654% (2138/3584)              
 [======================>..........................................] 15/40   Step: 413ms | Tot: 6s29ms | Loss: 2.143 | Acc: 59.661% (2291/3840)              
 [========================>........................................] 16/40   Step: 413ms | Tot: 6s443ms | Loss: 2.166 | Acc: 59.204% (2425/4096)              
 [==========================>......................................] 17/40   Step: 523ms | Tot: 6s966ms | Loss: 2.174 | Acc: 59.099% (2572/4352)              
 [===========================>.....................................] 18/40   Step: 414ms | Tot: 7s381ms | Loss: 2.187 | Acc: 58.919% (2715/4608)              
 [=============================>...................................] 19/40   Step: 413ms | Tot: 7s795ms | Loss: 2.199 | Acc: 58.799% (2860/4864)              
 [==============================>..................................] 20/40   Step: 412ms | Tot: 8s208ms | Loss: 2.194 | Acc: 58.711% (3006/5120)              
 [================================>................................] 21/40   Step: 414ms | Tot: 8s622ms | Loss: 2.200 | Acc: 58.705% (3156/5376)              
 [==================================>..............................] 22/40   Step: 413ms | Tot: 9s35ms | Loss: 2.209 | Acc: 58.629% (3302/5632)              
 [===================================>.............................] 23/40   Step: 519ms | Tot: 9s554ms | Loss: 2.225 | Acc: 58.543% (3447/5888)              
 [=====================================>...........................] 24/40   Step: 413ms | Tot: 9s968ms | Loss: 2.244 | Acc: 58.431% (3590/6144)              
 [=======================================>.........................] 25/40   Step: 413ms | Tot: 10s382ms | Loss: 2.244 | Acc: 58.453% (3741/6400)              
 [========================================>........................] 26/40   Step: 413ms | Tot: 10s795ms | Loss: 2.237 | Acc: 58.444% (3890/6656)              
 [==========================================>......................] 27/40   Step: 413ms | Tot: 11s209ms | Loss: 2.246 | Acc: 58.275% (4028/6912)              
 [===========================================>.....................] 28/40   Step: 521ms | Tot: 11s730ms | Loss: 2.236 | Acc: 58.371% (4184/7168)              
 [=============================================>...................] 29/40   Step: 428ms | Tot: 12s158ms | Loss: 2.233 | Acc: 58.432% (4338/7424)              
 [===============================================>.................] 30/40   Step: 413ms | Tot: 12s571ms | Loss: 2.232 | Acc: 58.477% (4491/7680)              
 [================================================>................] 31/40   Step: 411ms | Tot: 12s983ms | Loss: 2.243 | Acc: 58.392% (4634/7936)              
 [==================================================>..............] 32/40   Step: 412ms | Tot: 13s396ms | Loss: 2.242 | Acc: 58.325% (4778/8192)              
 [====================================================>............] 33/40   Step: 412ms | Tot: 13s808ms | Loss: 2.247 | Acc: 58.203% (4917/8448)              
 [=====================================================>...........] 34/40   Step: 517ms | Tot: 14s325ms | Loss: 2.258 | Acc: 58.054% (5053/8704)              
 [=======================================================>.........] 35/40   Step: 415ms | Tot: 14s741ms | Loss: 2.259 | Acc: 58.058% (5202/8960)              
 [========================================================>........] 36/40   Step: 373ms | Tot: 15s114ms | Loss: 2.255 | Acc: 57.975% (5343/9216)              
 [==========================================================>......] 37/40   Step: 368ms | Tot: 15s483ms | Loss: 2.257 | Acc: 57.865% (5481/9472)              
 [============================================================>....] 38/40   Step: 368ms | Tot: 15s851ms | Loss: 2.248 | Acc: 58.008% (5643/9728)              
 [=============================================================>...] 39/40   Step: 481ms | Tot: 16s333ms | Loss: 2.244 | Acc: 57.983% (5789/9984)              
 [===============================================================>.] 40/40   Step: 370ms | Tot: 16s703ms | Loss: 2.246 | Acc: 58.000% (5800/10000)
Saving with better validation accuracy model: 58.000..

Epoch: 1
 [>................................................................] 1/40   Step: 2s629ms | Tot: 0ms | Loss: 0.059 | Acc: 98.828% (253/256)              
 [=>...............................................................] 2/40   Step: 966ms | Tot: 966ms | Loss: 0.059 | Acc: 98.828% (506/512)              
 [===>.............................................................] 3/40   Step: 964ms | Tot: 1s930ms | Loss: 0.059 | Acc: 98.828% (759/768)              
 [====>............................................................] 4/40   Step: 1s143ms | Tot: 3s74ms | Loss: 0.055 | Acc: 99.023% (1014/1024)              
 [======>..........................................................] 5/40   Step: 975ms | Tot: 4s49ms | Loss: 0.054 | Acc: 98.984% (1267/1280)              
 [========>........................................................] 6/40   Step: 963ms | Tot: 5s12ms | Loss: 0.054 | Acc: 99.023% (1521/1536)              
 [=========>.......................................................] 7/40   Step: 961ms | Tot: 5s974ms | Loss: 0.053 | Acc: 98.996% (1774/1792)              
 [===========>.....................................................] 8/40   Step: 962ms | Tot: 6s936ms | Loss: 0.052 | Acc: 99.023% (2028/2048)              
 [=============>...................................................] 9/40   Step: 1s69ms | Tot: 8s6ms | Loss: 0.052 | Acc: 99.045% (2282/2304)              
 [==============>..................................................] 10/40   Step: 961ms | Tot: 8s967ms | Loss: 0.051 | Acc: 99.023% (2535/2560)              
 [================>................................................] 11/40   Step: 959ms | Tot: 9s927ms | Loss: 0.049 | Acc: 99.112% (2791/2816)              
