cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the bwcl selected dataset.
Now try to run the BWCL algorithm
10347 boundary samples
Load selected sample idx
Selected 28000 samples for a fair comparison.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/110   Step: 33s19ms | Tot: 0ms | Loss: 0.265 | Acc: 91.016% (233/256)              
 [>................................................................] 2/110   Step: 1s933ms | Tot: 1s933ms | Loss: 0.248 | Acc: 91.992% (471/512)              
 [=>...............................................................] 3/110   Step: 964ms | Tot: 2s898ms | Loss: 0.257 | Acc: 92.057% (707/768)              
 [=>...............................................................] 4/110   Step: 1s117ms | Tot: 4s16ms | Loss: 0.256 | Acc: 91.895% (941/1024)              
 [==>..............................................................] 5/110   Step: 938ms | Tot: 4s955ms | Loss: 0.251 | Acc: 92.266% (1181/1280)              
 [==>..............................................................] 6/110   Step: 936ms | Tot: 5s891ms | Loss: 0.247 | Acc: 92.253% (1417/1536)              
 [===>.............................................................] 7/110   Step: 938ms | Tot: 6s829ms | Loss: 0.242 | Acc: 92.690% (1661/1792)              
 [====>............................................................] 8/110   Step: 952ms | Tot: 7s782ms | Loss: 0.240 | Acc: 92.676% (1898/2048)              
 [====>............................................................] 9/110   Step: 1s48ms | Tot: 8s830ms | Loss: 0.232 | Acc: 93.056% (2144/2304)              
 [=====>...........................................................] 10/110   Step: 941ms | Tot: 9s771ms | Loss: 0.220 | Acc: 93.438% (2392/2560)              
 [=====>...........................................................] 11/110   Step: 938ms | Tot: 10s710ms | Loss: 0.217 | Acc: 93.537% (2634/2816)              
 [======>..........................................................] 12/110   Step: 942ms | Tot: 11s653ms | Loss: 0.214 | Acc: 93.815% (2882/3072)              
 [=======>.........................................................] 13/110   Step: 1s47ms | Tot: 12s700ms | Loss: 0.210 | Acc: 93.960% (3127/3328)              
 [=======>.........................................................] 14/110   Step: 949ms | Tot: 13s650ms | Loss: 0.210 | Acc: 93.973% (3368/3584)              
 [========>........................................................] 15/110   Step: 935ms | Tot: 14s585ms | Loss: 0.208 | Acc: 94.115% (3614/3840)              
 [========>........................................................] 16/110   Step: 946ms | Tot: 15s531ms | Loss: 0.205 | Acc: 94.263% (3861/4096)              
 [=========>.......................................................] 17/110   Step: 943ms | Tot: 16s474ms | Loss: 0.200 | Acc: 94.439% (4110/4352)              
 [==========>......................................................] 18/110   Step: 1s68ms | Tot: 17s543ms | Loss: 0.196 | Acc: 94.618% (4360/4608)              
 [==========>......................................................] 19/110   Step: 953ms | Tot: 18s496ms | Loss: 0.195 | Acc: 94.655% (4604/4864)              
 [===========>.....................................................] 20/110   Step: 949ms | Tot: 19s446ms | Loss: 0.192 | Acc: 94.824% (4855/5120)              
 [===========>.....................................................] 21/110   Step: 938ms | Tot: 20s385ms | Loss: 0.191 | Acc: 94.829% (5098/5376)              
 [============>....................................................] 22/110   Step: 943ms | Tot: 21s328ms | Loss: 0.190 | Acc: 94.886% (5344/5632)              
 [=============>...................................................] 23/110   Step: 1s93ms | Tot: 22s422ms | Loss: 0.189 | Acc: 94.905% (5588/5888)              
 [=============>...................................................] 24/110   Step: 956ms | Tot: 23s378ms | Loss: 0.188 | Acc: 94.889% (5830/6144)              
 [==============>..................................................] 25/110   Step: 936ms | Tot: 24s315ms | Loss: 0.186 | Acc: 94.969% (6078/6400)              
 [==============>..................................................] 26/110   Step: 934ms | Tot: 25s250ms | Loss: 0.184 | Acc: 95.012% (6324/6656)              
 [===============>.................................................] 27/110   Step: 1s47ms | Tot: 26s298ms | Loss: 0.181 | Acc: 95.124% (6575/6912)              
 [===============>.................................................] 28/110   Step: 938ms | Tot: 27s237ms | Loss: 0.178 | Acc: 95.173% (6822/7168)              
 [================>................................................] 29/110   Step: 944ms | Tot: 28s181ms | Loss: 0.175 | Acc: 95.299% (7075/7424)              
 [=================>...............................................] 30/110   Step: 942ms | Tot: 29s124ms | Loss: 0.175 | Acc: 95.352% (7323/7680)              
 [=================>...............................................] 31/110   Step: 943ms | Tot: 30s67ms | Loss: 0.174 | Acc: 95.363% (7568/7936)              
 [==================>..............................................] 32/110   Step: 1s43ms | Tot: 31s111ms | Loss: 0.172 | Acc: 95.410% (7816/8192)              
 [==================>..............................................] 33/110   Step: 942ms | Tot: 32s54ms | Loss: 0.170 | Acc: 95.466% (8065/8448)              
 [===================>.............................................] 34/110   Step: 955ms | Tot: 33s10ms | Loss: 0.169 | Acc: 95.554% (8317/8704)              
 [====================>............................................] 35/110   Step: 945ms | Tot: 33s955ms | Loss: 0.169 | Acc: 95.547% (8561/8960)              
 [====================>............................................] 36/110   Step: 1s42ms | Tot: 34s998ms | Loss: 0.168 | Acc: 95.530% (8804/9216)              
 [=====================>...........................................] 37/110   Step: 942ms | Tot: 35s940ms | Loss: 0.167 | Acc: 95.545% (9050/9472)              
 [=====================>...........................................] 38/110   Step: 939ms | Tot: 36s880ms | Loss: 0.166 | Acc: 95.600% (9300/9728)              
 [======================>..........................................] 39/110   Step: 964ms | Tot: 37s844ms | Loss: 0.165 | Acc: 95.643% (9549/9984)              
 [=======================>.........................................] 40/110   Step: 941ms | Tot: 38s786ms | Loss: 0.163 | Acc: 95.713% (9801/10240)              
 [=======================>.........................................] 41/110   Step: 1s53ms | Tot: 39s840ms | Loss: 0.161 | Acc: 95.751% (10050/10496)              
 [========================>........................................] 42/110   Step: 932ms | Tot: 40s772ms | Loss: 0.160 | Acc: 95.778% (10298/10752)              
 [========================>........................................] 43/110   Step: 945ms | Tot: 41s718ms | Loss: 0.159 | Acc: 95.821% (10548/11008)              
 [=========================>.......................................] 44/110   Step: 951ms | Tot: 42s670ms | Loss: 0.158 | Acc: 95.801% (10791/11264)              
 [==========================>......................................] 45/110   Step: 1s108ms | Tot: 43s778ms | Loss: 0.157 | Acc: 95.859% (11043/11520)              
 [==========================>......................................] 46/110   Step: 934ms | Tot: 44s712ms | Loss: 0.155 | Acc: 95.907% (11294/11776)              
 [===========================>.....................................] 47/110   Step: 940ms | Tot: 45s653ms | Loss: 0.154 | Acc: 95.928% (11542/12032)              
 [===========================>.....................................] 48/110   Step: 939ms | Tot: 46s592ms | Loss: 0.153 | Acc: 95.947% (11790/12288)              
 [============================>....................................] 49/110   Step: 946ms | Tot: 47s538ms | Loss: 0.152 | Acc: 95.958% (12037/12544)              
 [============================>....................................] 50/110   Step: 1s52ms | Tot: 48s591ms | Loss: 0.152 | Acc: 95.930% (12279/12800)              
 [=============================>...................................] 51/110   Step: 943ms | Tot: 49s535ms | Loss: 0.151 | Acc: 95.979% (12531/13056)              
 [==============================>..................................] 52/110   Step: 932ms | Tot: 50s467ms | Loss: 0.150 | Acc: 96.019% (12782/13312)              
 [==============================>..................................] 53/110   Step: 935ms | Tot: 51s403ms | Loss: 0.149 | Acc: 96.050% (13032/13568)              
 [===============================>.................................] 54/110   Step: 943ms | Tot: 52s347ms | Loss: 0.147 | Acc: 96.108% (13286/13824)              
 [===============================>.................................] 55/110   Step: 1s64ms | Tot: 53s411ms | Loss: 0.146 | Acc: 96.122% (13534/14080)              
 [================================>................................] 56/110   Step: 940ms | Tot: 54s352ms | Loss: 0.145 | Acc: 96.177% (13788/14336)              
 [=================================>...............................] 57/110   Step: 932ms | Tot: 55s285ms | Loss: 0.144 | Acc: 96.203% (14038/14592)              
 [=================================>...............................] 58/110   Step: 935ms | Tot: 56s220ms | Loss: 0.143 | Acc: 96.222% (14287/14848)              
 [==================================>..............................] 59/110   Step: 1s41ms | Tot: 57s262ms | Loss: 0.143 | Acc: 96.226% (14534/15104)              
 [==================================>..............................] 60/110   Step: 945ms | Tot: 58s208ms | Loss: 0.142 | Acc: 96.237% (14782/15360)              
 [===================================>.............................] 61/110   Step: 943ms | Tot: 59s151ms | Loss: 0.141 | Acc: 96.267% (15033/15616)              
 [====================================>............................] 62/110   Step: 933ms | Tot: 1m85ms | Loss: 0.140 | Acc: 96.270% (15280/15872)              
 [====================================>............................] 63/110   Step: 935ms | Tot: 1m1s | Loss: 0.140 | Acc: 96.280% (15528/16128)              
 [=====================================>...........................] 64/110   Step: 1s46ms | Tot: 1m2s | Loss: 0.139 | Acc: 96.301% (15778/16384)              
 [=====================================>...........................] 65/110   Step: 950ms | Tot: 1m3s | Loss: 0.139 | Acc: 96.304% (16025/16640)              
 [======================================>..........................] 66/110   Step: 941ms | Tot: 1m3s | Loss: 0.138 | Acc: 96.342% (16278/16896)              
 [=======================================>.........................] 67/110   Step: 936ms | Tot: 1m4s | Loss: 0.137 | Acc: 96.368% (16529/17152)              
 [=======================================>.........................] 68/110   Step: 1s41ms | Tot: 1m5s | Loss: 0.137 | Acc: 96.398% (16781/17408)              
 [========================================>........................] 69/110   Step: 938ms | Tot: 1m6s | Loss: 0.136 | Acc: 96.399% (17028/17664)              
 [========================================>........................] 70/110   Step: 946ms | Tot: 1m7s | Loss: 0.135 | Acc: 96.429% (17280/17920)              
 [=========================================>.......................] 71/110   Step: 945ms | Tot: 1m8s | Loss: 0.135 | Acc: 96.446% (17530/18176)              
 [=========================================>.......................] 72/110   Step: 946ms | Tot: 1m9s | Loss: 0.135 | Acc: 96.452% (17778/18432)              
 [==========================================>......................] 73/110   Step: 1s53ms | Tot: 1m10s | Loss: 0.134 | Acc: 96.495% (18033/18688)              
 [===========================================>.....................] 74/110   Step: 942ms | Tot: 1m11s | Loss: 0.133 | Acc: 96.521% (18285/18944)              
 [===========================================>.....................] 75/110   Step: 939ms | Tot: 1m12s | Loss: 0.132 | Acc: 96.536% (18535/19200)              
 [============================================>....................] 76/110   Step: 959ms | Tot: 1m13s | Loss: 0.132 | Acc: 96.556% (18786/19456)              
 [============================================>....................] 77/110   Step: 1s74ms | Tot: 1m14s | Loss: 0.131 | Acc: 96.576% (19037/19712)              
 [=============================================>...................] 78/110   Step: 944ms | Tot: 1m15s | Loss: 0.130 | Acc: 96.595% (19288/19968)              
 [==============================================>..................] 79/110   Step: 938ms | Tot: 1m16s | Loss: 0.130 | Acc: 96.613% (19539/20224)              
 [==============================================>..................] 80/110   Step: 946ms | Tot: 1m17s | Loss: 0.129 | Acc: 96.641% (19792/20480)              
 [===============================================>.................] 81/110   Step: 942ms | Tot: 1m18s | Loss: 0.128 | Acc: 96.663% (20044/20736)              
