cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the cl selected dataset.
------------------ Start to select subsets ------------------
Start to select 5439 samples for a fair comparison.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [=============================================>...................] 29/40   Step: 412ms | Tot: 12s212ms | Loss: 0.732 | Acc: 81.519% (6052/7424)              
 [===============================================>.................] 30/40   Step: 416ms | Tot: 12s629ms | Loss: 0.727 | Acc: 81.589% (6266/7680)              
 [================================================>................] 31/40   Step: 413ms | Tot: 13s42ms | Loss: 0.726 | Acc: 81.615% (6477/7936)              
 [==================================================>..............] 32/40   Step: 415ms | Tot: 13s458ms | Loss: 0.724 | Acc: 81.726% (6695/8192)              
 [====================================================>............] 33/40   Step: 522ms | Tot: 13s981ms | Loss: 0.724 | Acc: 81.723% (6904/8448)              
 [=====================================================>...........] 34/40   Step: 420ms | Tot: 14s402ms | Loss: 0.721 | Acc: 81.721% (7113/8704)              
 [=======================================================>.........] 35/40   Step: 413ms | Tot: 14s815ms | Loss: 0.723 | Acc: 81.719% (7322/8960)              
 [========================================================>........] 36/40   Step: 378ms | Tot: 15s194ms | Loss: 0.727 | Acc: 81.608% (7521/9216)              
 [==========================================================>......] 37/40   Step: 372ms | Tot: 15s566ms | Loss: 0.726 | Acc: 81.672% (7736/9472)              
 [============================================================>....] 38/40   Step: 369ms | Tot: 15s936ms | Loss: 0.725 | Acc: 81.713% (7949/9728)              
 [=============================================================>...] 39/40   Step: 475ms | Tot: 16s411ms | Loss: 0.727 | Acc: 81.651% (8152/9984)              
 [===============================================================>.] 40/40   Step: 2s228ms | Tot: 18s639ms | Loss: 0.727 | Acc: 81.660% (8166/10000)
Saving with better validation accuracy model: 81.660..

Epoch: 1
 [>................................................................] 1/22   Step: 3s26ms | Tot: 0ms | Loss: 0.386 | Acc: 89.453% (229/256)              
 [==>..............................................................] 2/22   Step: 990ms | Tot: 990ms | Loss: 0.412 | Acc: 87.500% (448/512)              
 [=====>...........................................................] 3/22   Step: 975ms | Tot: 1s966ms | Loss: 0.436 | Acc: 86.849% (667/768)              
 [========>........................................................] 4/22   Step: 1s144ms | Tot: 3s110ms | Loss: 0.400 | Acc: 87.793% (899/1024)              
 [===========>.....................................................] 5/22   Step: 977ms | Tot: 4s88ms | Loss: 0.413 | Acc: 87.188% (1116/1280)              
 [==============>..................................................] 6/22   Step: 991ms | Tot: 5s79ms | Loss: 0.414 | Acc: 87.305% (1341/1536)              
 [=================>...............................................] 7/22   Step: 966ms | Tot: 6s46ms | Loss: 0.407 | Acc: 87.500% (1568/1792)              
 [====================>............................................] 8/22   Step: 1s109ms | Tot: 7s155ms | Loss: 0.403 | Acc: 87.744% (1797/2048)              
 [=======================>.........................................] 9/22   Step: 971ms | Tot: 8s127ms | Loss: 0.413 | Acc: 87.543% (2017/2304)              
 [==========================>......................................] 10/22   Step: 968ms | Tot: 9s96ms | Loss: 0.410 | Acc: 87.617% (2243/2560)              
 [=============================>...................................] 11/22   Step: 967ms | Tot: 10s63ms | Loss: 0.403 | Acc: 87.926% (2476/2816)              
 [================================>................................] 12/22   Step: 973ms | Tot: 11s36ms | Loss: 0.396 | Acc: 88.053% (2705/3072)              
