cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the im wcl selected dataset.
------------------ Start to select subsets ------------------
Select 38000 samples
Load selected sample idx
Selected 38000 samples for a fair comparison.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/149   Step: 1m36s | Tot: 0ms | Loss: 0.131 | Acc: 96.094% (246/256)              
 [>................................................................] 2/149   Step: 1s962ms | Tot: 1s962ms | Loss: 0.132 | Acc: 95.703% (490/512)              
 [>................................................................] 3/149   Step: 959ms | Tot: 2s921ms | Loss: 0.141 | Acc: 95.703% (735/768)              
 [=>...............................................................] 4/149   Step: 1s124ms | Tot: 4s46ms | Loss: 0.140 | Acc: 95.996% (983/1024)              
 [=>...............................................................] 5/149   Step: 946ms | Tot: 4s992ms | Loss: 0.137 | Acc: 95.938% (1228/1280)              
 [==>..............................................................] 6/149   Step: 950ms | Tot: 5s943ms | Loss: 0.129 | Acc: 96.029% (1475/1536)              
 [==>..............................................................] 7/149   Step: 948ms | Tot: 6s892ms | Loss: 0.128 | Acc: 95.926% (1719/1792)              
 [===>.............................................................] 8/149   Step: 951ms | Tot: 7s843ms | Loss: 0.126 | Acc: 95.947% (1965/2048)              
 [===>.............................................................] 9/149   Step: 1s72ms | Tot: 8s915ms | Loss: 0.128 | Acc: 95.964% (2211/2304)              
 [===>.............................................................] 10/149   Step: 949ms | Tot: 9s864ms | Loss: 0.126 | Acc: 96.133% (2461/2560)              
 [====>............................................................] 11/149   Step: 944ms | Tot: 10s809ms | Loss: 0.124 | Acc: 96.200% (2709/2816)              
 [====>............................................................] 12/149   Step: 944ms | Tot: 11s754ms | Loss: 0.122 | Acc: 96.224% (2956/3072)              
 [=====>...........................................................] 13/149   Step: 1s50ms | Tot: 12s804ms | Loss: 0.120 | Acc: 96.274% (3204/3328)              
 [=====>...........................................................] 14/149   Step: 944ms | Tot: 13s749ms | Loss: 0.120 | Acc: 96.094% (3444/3584)              
 [======>..........................................................] 15/149   Step: 950ms | Tot: 14s700ms | Loss: 0.119 | Acc: 96.120% (3691/3840)              
 [=====================>...........................................] 51/149   Step: 941ms | Tot: 49s913ms | Loss: 0.089 | Acc: 97.197% (12690/13056)              
 [======================>..........................................] 52/149   Step: 943ms | Tot: 50s857ms | Loss: 0.088 | Acc: 97.198% (12939/13312)              
 [======================>..........................................] 53/149   Step: 945ms | Tot: 51s802ms | Loss: 0.088 | Acc: 97.214% (13190/13568)              
 [=======================>.........................................] 54/149   Step: 948ms | Tot: 52s751ms | Loss: 0.088 | Acc: 97.237% (13442/13824)              
 [=======================>.........................................] 55/149   Step: 1s47ms | Tot: 53s799ms | Loss: 0.087 | Acc: 97.251% (13693/14080)              
 [=======================>.........................................] 56/149   Step: 946ms | Tot: 54s746ms | Loss: 0.087 | Acc: 97.266% (13944/14336)              
 [========================>........................................] 57/149   Step: 941ms | Tot: 55s687ms | Loss: 0.086 | Acc: 97.272% (14194/14592)              
 [========================>........................................] 58/149   Step: 941ms | Tot: 56s629ms | Loss: 0.086 | Acc: 97.286% (14445/14848)              
 [=========================>.......................................] 59/149   Step: 1s53ms | Tot: 57s683ms | Loss: 0.086 | Acc: 97.285% (14694/15104)              
 [=========================>.......................................] 60/149   Step: 968ms | Tot: 58s651ms | Loss: 0.085 | Acc: 97.305% (14946/15360)              
 [==========================>......................................] 61/149   Step: 950ms | Tot: 59s602ms | Loss: 0.085 | Acc: 97.304% (15195/15616)              
 [==========================>......................................] 62/149   Step: 945ms | Tot: 1m548ms | Loss: 0.085 | Acc: 97.316% (15446/15872)              
 [===========================>.....................................] 63/149   Step: 946ms | Tot: 1m1s | Loss: 0.085 | Acc: 97.321% (15696/16128)              
 [===========================>.....................................] 64/149   Step: 1s52ms | Tot: 1m2s | Loss: 0.084 | Acc: 97.321% (15945/16384)              
 [===========================>.....................................] 65/149   Step: 946ms | Tot: 1m3s | Loss: 0.084 | Acc: 97.338% (16197/16640)              
 [============================>....................................] 66/149   Step: 944ms | Tot: 1m4s | Loss: 0.083 | Acc: 97.360% (16450/16896)              
 [============================>....................................] 67/149   Step: 941ms | Tot: 1m5s | Loss: 0.083 | Acc: 97.371% (16701/17152)              
 [=============================>...................................] 68/149   Step: 957ms | Tot: 1m6s | Loss: 0.083 | Acc: 97.363% (16949/17408)              
 [=============================>...................................] 69/149   Step: 1s59ms | Tot: 1m7s | Loss: 0.083 | Acc: 97.368% (17199/17664)              
 [==============================>..................................] 70/149   Step: 979ms | Tot: 1m8s | Loss: 0.082 | Acc: 97.388% (17452/17920)              
 [==============================>..................................] 71/149   Step: 943ms | Tot: 1m9s | Loss: 0.082 | Acc: 97.392% (17702/18176)              
 [==============================>..................................] 72/149   Step: 946ms | Tot: 1m10s | Loss: 0.082 | Acc: 97.407% (17954/18432)              
 [===============================>.................................] 73/149   Step: 1s90ms | Tot: 1m11s | Loss: 0.082 | Acc: 97.426% (18207/18688)              
 [===============================>.................................] 74/149   Step: 941ms | Tot: 1m12s | Loss: 0.081 | Acc: 97.445% (18460/18944)              
 [================================>................................] 75/149   Step: 942ms | Tot: 1m13s | Loss: 0.082 | Acc: 97.427% (18706/19200)              
 [================================>................................] 76/149   Step: 939ms | Tot: 1m14s | Loss: 0.081 | Acc: 97.435% (18957/19456)              
 [=================================>...............................] 77/149   Step: 942ms | Tot: 1m15s | Loss: 0.081 | Acc: 97.443% (19208/19712)              
 [=================================>...............................] 78/149   Step: 1s62ms | Tot: 1m16s | Loss: 0.081 | Acc: 97.461% (19461/19968)              
 [==================================>..............................] 79/149   Step: 943ms | Tot: 1m17s | Loss: 0.080 | Acc: 97.468% (19712/20224)              
 [==================================>..............................] 80/149   Step: 968ms | Tot: 1m18s | Loss: 0.080 | Acc: 97.480% (19964/20480)              
 [==================================>..............................] 81/149   Step: 946ms | Tot: 1m19s | Loss: 0.080 | Acc: 97.507% (20219/20736)              
 [===================================>.............................] 82/149   Step: 943ms | Tot: 1m19s | Loss: 0.079 | Acc: 97.518% (20471/20992)              
 [===================================>.............................] 83/149   Step: 1s48ms | Tot: 1m21s | Loss: 0.079 | Acc: 97.534% (20724/21248)              
 [====================================>............................] 84/149   Step: 943ms | Tot: 1m21s | Loss: 0.079 | Acc: 97.545% (20976/21504)              
 [====================================>............................] 85/149   Step: 954ms | Tot: 1m22s | Loss: 0.079 | Acc: 97.551% (21227/21760)              
 [=====================================>...........................] 86/149   Step: 942ms | Tot: 1m23s | Loss: 0.079 | Acc: 97.547% (21476/22016)              
 [=====================================>...........................] 87/149   Step: 1s47ms | Tot: 1m24s | Loss: 0.079 | Acc: 97.540% (21724/22272)              
 [=====================================>...........................] 88/149   Step: 941ms | Tot: 1m25s | Loss: 0.079 | Acc: 97.545% (21975/22528)              
 [======================================>..........................] 89/149   Step: 941ms | Tot: 1m26s | Loss: 0.078 | Acc: 97.568% (22230/22784)              
 [======================================>..........................] 90/149   Step: 945ms | Tot: 1m27s | Loss: 0.078 | Acc: 97.578% (22482/23040)              
 [=======================================>.........................] 91/149   Step: 964ms | Tot: 1m28s | Loss: 0.078 | Acc: 97.588% (22734/23296)              
 [=======================================>.........................] 92/149   Step: 1s53ms | Tot: 1m29s | Loss: 0.077 | Acc: 97.597% (22986/23552)              
 [========================================>........................] 93/149   Step: 947ms | Tot: 1m30s | Loss: 0.077 | Acc: 97.614% (23240/23808)              
 [========================================>........................] 94/149   Step: 939ms | Tot: 1m31s | Loss: 0.077 | Acc: 97.615% (23490/24064)              
 [=========================================>.......................] 95/149   Step: 947ms | Tot: 1m32s | Loss: 0.076 | Acc: 97.627% (23743/24320)              
 [=========================================>.......................] 96/149   Step: 949ms | Tot: 1m33s | Loss: 0.076 | Acc: 97.640% (23996/24576)              
 [=========================================>.......................] 97/149   Step: 1s43ms | Tot: 1m34s | Loss: 0.076 | Acc: 97.636% (24245/24832)              
 [==========================================>......................] 98/149   Step: 944ms | Tot: 1m35s | Loss: 0.076 | Acc: 97.652% (24499/25088)              
 [==========================================>......................] 99/149   Step: 945ms | Tot: 1m36s | Loss: 0.075 | Acc: 97.672% (24754/25344)              
 [===========================================>.....................] 100/149   Step: 941ms | Tot: 1m37s | Loss: 0.075 | Acc: 97.680% (25006/25600)              
 [===========================================>.....................] 101/149   Step: 967ms | Tot: 1m38s | Loss: 0.075 | Acc: 97.691% (25259/25856)              
