cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the im wcl selected dataset.
------------------ Start to select subsets ------------------
Select 9 percent samples
Select 36000 samples
Load selected sample idx
Selected 36000 samples for a fair comparison.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/141   Step: 38s511ms | Tot: 0ms | Loss: 0.008 | Acc: 100.000% (256/256)              
 [>................................................................] 2/141   Step: 1s979ms | Tot: 1s979ms | Loss: 0.009 | Acc: 100.000% (512/512)              
 [>................................................................] 3/141   Step: 992ms | Tot: 2s971ms | Loss: 0.010 | Acc: 99.870% (767/768)              
 [=>...............................................................] 4/141   Step: 1s176ms | Tot: 4s148ms | Loss: 0.009 | Acc: 99.902% (1023/1024)              
 [=>...............................................................] 5/141   Step: 976ms | Tot: 5s124ms | Loss: 0.008 | Acc: 99.922% (1279/1280)              
 [==>..............................................................] 6/141   Step: 978ms | Tot: 6s103ms | Loss: 0.008 | Acc: 99.935% (1535/1536)              
 [==>..............................................................] 7/141   Step: 990ms | Tot: 7s93ms | Loss: 0.007 | Acc: 99.944% (1791/1792)              
 [===>.............................................................] 8/141   Step: 975ms | Tot: 8s69ms | Loss: 0.008 | Acc: 99.902% (2046/2048)              
 [===>.............................................................] 9/141   Step: 1s78ms | Tot: 9s148ms | Loss: 0.008 | Acc: 99.870% (2301/2304)              
 [====>............................................................] 10/141   Step: 973ms | Tot: 10s121ms | Loss: 0.009 | Acc: 99.844% (2556/2560)              
 [====>............................................................] 11/141   Step: 976ms | Tot: 11s98ms | Loss: 0.010 | Acc: 99.822% (2811/2816)              
 [=====>...........................................................] 12/141   Step: 972ms | Tot: 12s70ms | Loss: 0.012 | Acc: 99.772% (3065/3072)              
 [=====>...........................................................] 13/141   Step: 1s83ms | Tot: 13s154ms | Loss: 0.011 | Acc: 99.790% (3321/3328)              
 [=====>...........................................................] 14/141   Step: 973ms | Tot: 14s127ms | Loss: 0.011 | Acc: 99.777% (3576/3584)              
 [======>..........................................................] 15/141   Step: 977ms | Tot: 15s104ms | Loss: 0.011 | Acc: 99.792% (3832/3840)              
 [======>..........................................................] 16/141   Step: 973ms | Tot: 16s78ms | Loss: 0.011 | Acc: 99.756% (4086/4096)              
 [======================>..........................................] 50/141   Step: 1s110ms | Tot: 50s224ms | Loss: 0.009 | Acc: 99.836% (12779/12800)              
 [=======================>.........................................] 51/141   Step: 976ms | Tot: 51s200ms | Loss: 0.009 | Acc: 99.839% (13035/13056)              
 [=======================>.........................................] 52/141   Step: 972ms | Tot: 52s172ms | Loss: 0.009 | Acc: 99.842% (13291/13312)              
 [=======================>.........................................] 53/141   Step: 977ms | Tot: 53s149ms | Loss: 0.009 | Acc: 99.845% (13547/13568)              
 [========================>........................................] 54/141   Step: 976ms | Tot: 54s126ms | Loss: 0.009 | Acc: 99.848% (13803/13824)              
 [========================>........................................] 55/141   Step: 1s93ms | Tot: 55s219ms | Loss: 0.009 | Acc: 99.844% (14058/14080)              
 [=========================>.......................................] 56/141   Step: 974ms | Tot: 56s194ms | Loss: 0.009 | Acc: 99.840% (14313/14336)              
 [=========================>.......................................] 57/141   Step: 987ms | Tot: 57s181ms | Loss: 0.009 | Acc: 99.836% (14568/14592)              
 [==========================>......................................] 58/141   Step: 974ms | Tot: 58s156ms | Loss: 0.009 | Acc: 99.832% (14823/14848)              
 [==========================>......................................] 59/141   Step: 1s82ms | Tot: 59s238ms | Loss: 0.009 | Acc: 99.828% (15078/15104)              
 [===========================>.....................................] 60/141   Step: 970ms | Tot: 1m208ms | Loss: 0.009 | Acc: 99.818% (15332/15360)              
 [===========================>.....................................] 61/141   Step: 981ms | Tot: 1m1s | Loss: 0.010 | Acc: 99.808% (15586/15616)              
 [============================>....................................] 62/141   Step: 975ms | Tot: 1m2s | Loss: 0.010 | Acc: 99.811% (15842/15872)              
 [============================>....................................] 63/141   Step: 974ms | Tot: 1m3s | Loss: 0.010 | Acc: 99.808% (16097/16128)              
 [=============================>...................................] 64/141   Step: 1s79ms | Tot: 1m4s | Loss: 0.010 | Acc: 99.805% (16352/16384)              
 [=============================>...................................] 65/141   Step: 973ms | Tot: 1m5s | Loss: 0.009 | Acc: 99.808% (16608/16640)              
 [=============================>...................................] 66/141   Step: 972ms | Tot: 1m6s | Loss: 0.010 | Acc: 99.805% (16863/16896)              
 [==============================>..................................] 67/141   Step: 981ms | Tot: 1m7s | Loss: 0.010 | Acc: 99.802% (17118/17152)              
 [==============================>..................................] 68/141   Step: 972ms | Tot: 1m8s | Loss: 0.009 | Acc: 99.805% (17374/17408)              
 [===============================>.................................] 69/141   Step: 1s76ms | Tot: 1m9s | Loss: 0.010 | Acc: 99.802% (17629/17664)              
 [===============================>.................................] 70/141   Step: 971ms | Tot: 1m10s | Loss: 0.010 | Acc: 99.799% (17884/17920)              
 [================================>................................] 71/141   Step: 974ms | Tot: 1m11s | Loss: 0.010 | Acc: 99.796% (18139/18176)              
 [================================>................................] 72/141   Step: 974ms | Tot: 1m12s | Loss: 0.010 | Acc: 99.794% (18394/18432)              
 [=================================>...............................] 73/141   Step: 1s81ms | Tot: 1m13s | Loss: 0.009 | Acc: 99.797% (18650/18688)              
 [=================================>...............................] 74/141   Step: 970ms | Tot: 1m14s | Loss: 0.009 | Acc: 99.799% (18906/18944)              
 [==================================>..............................] 75/141   Step: 974ms | Tot: 1m15s | Loss: 0.009 | Acc: 99.802% (19162/19200)              
 [==================================>..............................] 76/141   Step: 970ms | Tot: 1m16s | Loss: 0.009 | Acc: 99.800% (19417/19456)              
 [===================================>.............................] 77/141   Step: 988ms | Tot: 1m17s | Loss: 0.009 | Acc: 99.802% (19673/19712)              
 [===================================>.............................] 78/141   Step: 1s77ms | Tot: 1m18s | Loss: 0.009 | Acc: 99.805% (19929/19968)              
 [===================================>.............................] 79/141   Step: 976ms | Tot: 1m19s | Loss: 0.009 | Acc: 99.807% (20185/20224)              
 [====================================>............................] 80/141   Step: 977ms | Tot: 1m20s | Loss: 0.009 | Acc: 99.805% (20440/20480)              
