cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the cl selected dataset.
------------------ Start to select subsets ------------------
Select 10000 samples
Selected 10000 samples.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [================>................................................] 11/40   Step: 412ms | Tot: 4s224ms | Loss: 0.629 | Acc: 84.304% (2374/2816)              
 [=================>...............................................] 12/40   Step: 519ms | Tot: 4s744ms | Loss: 0.636 | Acc: 84.342% (2591/3072)              
 [===================>.............................................] 13/40   Step: 415ms | Tot: 5s160ms | Loss: 0.633 | Acc: 84.405% (2809/3328)              
 [=====================>...........................................] 14/40   Step: 423ms | Tot: 5s584ms | Loss: 0.618 | Acc: 84.682% (3035/3584)              
 [======================>..........................................] 15/40   Step: 411ms | Tot: 5s995ms | Loss: 0.625 | Acc: 84.323% (3238/3840)              
 [========================>........................................] 16/40   Step: 410ms | Tot: 6s405ms | Loss: 0.634 | Acc: 84.277% (3452/4096)              
 [==========================>......................................] 17/40   Step: 410ms | Tot: 6s816ms | Loss: 0.635 | Acc: 84.237% (3666/4352)              
 [===========================>.....................................] 18/40   Step: 519ms | Tot: 7s336ms | Loss: 0.645 | Acc: 83.984% (3870/4608)              
 [=============================>...................................] 19/40   Step: 411ms | Tot: 7s747ms | Loss: 0.653 | Acc: 83.820% (4077/4864)              
 [==============================>..................................] 20/40   Step: 410ms | Tot: 8s158ms | Loss: 0.657 | Acc: 83.828% (4292/5120)              
 [================================>................................] 21/40   Step: 410ms | Tot: 8s568ms | Loss: 0.650 | Acc: 83.947% (4513/5376)              
 [==================================>..............................] 22/40   Step: 411ms | Tot: 8s979ms | Loss: 0.649 | Acc: 83.878% (4724/5632)              
 [===================================>.............................] 23/40   Step: 519ms | Tot: 9s499ms | Loss: 0.657 | Acc: 83.679% (4927/5888)              
 [=====================================>...........................] 24/40   Step: 411ms | Tot: 9s911ms | Loss: 0.650 | Acc: 83.789% (5148/6144)              
 [=======================================>.........................] 25/40   Step: 411ms | Tot: 10s322ms | Loss: 0.647 | Acc: 83.750% (5360/6400)              
 [========================================>........................] 26/40   Step: 412ms | Tot: 10s734ms | Loss: 0.659 | Acc: 83.654% (5568/6656)              
 [==========================================>......................] 27/40   Step: 411ms | Tot: 11s146ms | Loss: 0.661 | Acc: 83.594% (5778/6912)              
 [===========================================>.....................] 28/40   Step: 410ms | Tot: 11s557ms | Loss: 0.662 | Acc: 83.552% (5989/7168)              
 [=============================================>...................] 29/40   Step: 517ms | Tot: 12s75ms | Loss: 0.666 | Acc: 83.459% (6196/7424)              
 [===============================================>.................] 30/40   Step: 410ms | Tot: 12s485ms | Loss: 0.661 | Acc: 83.542% (6416/7680)              
 [================================================>................] 31/40   Step: 411ms | Tot: 12s896ms | Loss: 0.661 | Acc: 83.569% (6632/7936)              
 [==================================================>..............] 32/40   Step: 411ms | Tot: 13s308ms | Loss: 0.661 | Acc: 83.630% (6851/8192)              
 [====================================================>............] 33/40   Step: 410ms | Tot: 13s718ms | Loss: 0.663 | Acc: 83.582% (7061/8448)              
 [=====================================================>...........] 34/40   Step: 519ms | Tot: 14s238ms | Loss: 0.660 | Acc: 83.651% (7281/8704)              
 [=======================================================>.........] 35/40   Step: 412ms | Tot: 14s650ms | Loss: 0.661 | Acc: 83.638% (7494/8960)              
 [========================================================>........] 36/40   Step: 375ms | Tot: 15s26ms | Loss: 0.666 | Acc: 83.561% (7701/9216)              
 [==========================================================>......] 37/40   Step: 384ms | Tot: 15s410ms | Loss: 0.664 | Acc: 83.678% (7926/9472)              
 [============================================================>....] 38/40   Step: 368ms | Tot: 15s778ms | Loss: 0.666 | Acc: 83.594% (8132/9728)              
 [=============================================================>...] 39/40   Step: 368ms | Tot: 16s147ms | Loss: 0.664 | Acc: 83.584% (8345/9984)              
 [===============================================================>.] 40/40   Step: 475ms | Tot: 16s622ms | Loss: 0.664 | Acc: 83.580% (8358/10000)
Saving with better validation accuracy model: 83.580..

Epoch: 1
 [>................................................................] 1/40   Step: 2s583ms | Tot: 0ms | Loss: 0.026 | Acc: 99.219% (254/256)              
 [=>...............................................................] 2/40   Step: 951ms | Tot: 951ms | Loss: 0.020 | Acc: 99.609% (510/512)              
 [===>.............................................................] 3/40   Step: 957ms | Tot: 1s909ms | Loss: 0.021 | Acc: 99.740% (766/768)              
 [====>............................................................] 4/40   Step: 944ms | Tot: 2s853ms | Loss: 0.026 | Acc: 99.414% (1018/1024)              
 [======>..........................................................] 5/40   Step: 1s113ms | Tot: 3s966ms | Loss: 0.024 | Acc: 99.531% (1274/1280)              
 [========>........................................................] 6/40   Step: 950ms | Tot: 4s917ms | Loss: 0.023 | Acc: 99.544% (1529/1536)              
 [=========>.......................................................] 7/40   Step: 947ms | Tot: 5s864ms | Loss: 0.024 | Acc: 99.498% (1783/1792)              
 [===========>.....................................................] 8/40   Step: 960ms | Tot: 6s825ms | Loss: 0.024 | Acc: 99.463% (2037/2048)              
 [=============>...................................................] 9/40   Step: 1s58ms | Tot: 7s884ms | Loss: 0.024 | Acc: 99.392% (2290/2304)              
 [==============>..................................................] 10/40   Step: 942ms | Tot: 8s826ms | Loss: 0.023 | Acc: 99.414% (2545/2560)              
 [================>................................................] 11/40   Step: 941ms | Tot: 9s768ms | Loss: 0.024 | Acc: 99.396% (2799/2816)              
 [=================>...............................................] 12/40   Step: 944ms | Tot: 10s713ms | Loss: 0.025 | Acc: 99.414% (3054/3072)              
 [===================>.............................................] 13/40   Step: 945ms | Tot: 11s658ms | Loss: 0.025 | Acc: 99.429% (3309/3328)              
 [=====================>...........................................] 14/40   Step: 1s86ms | Tot: 12s744ms | Loss: 0.025 | Acc: 99.414% (3563/3584)              
 [======================>..........................................] 15/40   Step: 941ms | Tot: 13s685ms | Loss: 0.025 | Acc: 99.427% (3818/3840)              
 [========================>........................................] 16/40   Step: 946ms | Tot: 14s632ms | Loss: 0.025 | Acc: 99.414% (4072/4096)              
 [==========================>......................................] 17/40   Step: 945ms | Tot: 15s577ms | Loss: 0.025 | Acc: 99.357% (4324/4352)              
 [===========================>.....................................] 18/40   Step: 963ms | Tot: 16s541ms | Loss: 0.025 | Acc: 99.349% (4578/4608)              
 [=============================>...................................] 19/40   Step: 1s65ms | Tot: 17s607ms | Loss: 0.027 | Acc: 99.322% (4831/4864)              
 [==============================>..................................] 20/40   Step: 939ms | Tot: 18s546ms | Loss: 0.026 | Acc: 99.316% (5085/5120)              
 [================================>................................] 21/40   Step: 945ms | Tot: 19s491ms | Loss: 0.026 | Acc: 99.330% (5340/5376)              
 [==================================>..............................] 22/40   Step: 941ms | Tot: 20s432ms | Loss: 0.026 | Acc: 99.308% (5593/5632)              
 [===================================>.............................] 23/40   Step: 1s53ms | Tot: 21s486ms | Loss: 0.026 | Acc: 99.321% (5848/5888)              
 [=====================================>...........................] 24/40   Step: 941ms | Tot: 22s427ms | Loss: 0.026 | Acc: 99.333% (6103/6144)              
 [=======================================>.........................] 25/40   Step: 941ms | Tot: 23s368ms | Loss: 0.026 | Acc: 99.328% (6357/6400)              
 [========================================>........................] 26/40   Step: 942ms | Tot: 24s310ms | Loss: 0.026 | Acc: 99.309% (6610/6656)              
 [==========================================>......................] 27/40   Step: 945ms | Tot: 25s256ms | Loss: 0.026 | Acc: 99.320% (6865/6912)              
 [===========================================>.....................] 28/40   Step: 1s66ms | Tot: 26s323ms | Loss: 0.027 | Acc: 99.275% (7116/7168)              
 [=============================================>...................] 29/40   Step: 943ms | Tot: 27s266ms | Loss: 0.026 | Acc: 99.300% (7372/7424)              
 [===============================================>.................] 30/40   Step: 942ms | Tot: 28s209ms | Loss: 0.027 | Acc: 99.284% (7625/7680)              
 [================================================>................] 31/40   Step: 942ms | Tot: 29s152ms | Loss: 0.026 | Acc: 99.282% (7879/7936)              
 [==================================================>..............] 32/40   Step: 946ms | Tot: 30s98ms | Loss: 0.026 | Acc: 99.292% (8134/8192)              
 [====================================================>............] 33/40   Step: 1s55ms | Tot: 31s154ms | Loss: 0.026 | Acc: 99.313% (8390/8448)              
 [=====================================================>...........] 34/40   Step: 949ms | Tot: 32s103ms | Loss: 0.026 | Acc: 99.311% (8644/8704)              
 [=======================================================>.........] 35/40   Step: 941ms | Tot: 33s44ms | Loss: 0.025 | Acc: 99.330% (8900/8960)              
 [========================================================>........] 36/40   Step: 844ms | Tot: 33s888ms | Loss: 0.025 | Acc: 99.349% (9156/9216)              
 [==========================================================>......] 37/40   Step: 949ms | Tot: 34s838ms | Loss: 0.025 | Acc: 99.367% (9412/9472)              
 [============================================================>....] 38/40   Step: 837ms | Tot: 35s676ms | Loss: 0.025 | Acc: 99.352% (9665/9728)              
 [=============================================================>...] 39/40   Step: 851ms | Tot: 36s527ms | Loss: 0.025 | Acc: 99.339% (9918/9984)              
 [===============================================================>.] 40/40   Step: 884ms | Tot: 37s412ms | Loss: 0.026 | Acc: 99.300% (9930/10000)
 [>................................................................] 1/40   Step: 1s99ms | Tot: 0ms | Loss: 0.481 | Acc: 87.891% (225/256)              
 [=>...............................................................] 2/40   Step: 582ms | Tot: 582ms | Loss: 0.620 | Acc: 84.375% (432/512)              
 [===>.............................................................] 3/40   Step: 411ms | Tot: 993ms | Loss: 0.606 | Acc: 84.896% (652/768)              
 [====>............................................................] 4/40   Step: 416ms | Tot: 1s409ms | Loss: 0.581 | Acc: 85.254% (873/1024)              
 [======>..........................................................] 5/40   Step: 412ms | Tot: 1s822ms | Loss: 0.531 | Acc: 86.094% (1102/1280)              
 [========>........................................................] 6/40   Step: 410ms | Tot: 2s233ms | Loss: 0.570 | Acc: 85.091% (1307/1536)              
 [=========>.......................................................] 7/40   Step: 409ms | Tot: 2s642ms | Loss: 0.580 | Acc: 85.045% (1524/1792)              
 [===========>.....................................................] 8/40   Step: 514ms | Tot: 3s157ms | Loss: 0.598 | Acc: 84.912% (1739/2048)              
 [=============>...................................................] 9/40   Step: 413ms | Tot: 3s570ms | Loss: 0.615 | Acc: 84.679% (1951/2304)              
 [==============>..................................................] 10/40   Step: 410ms | Tot: 3s980ms | Loss: 0.606 | Acc: 84.883% (2173/2560)              
 [================>................................................] 11/40   Step: 411ms | Tot: 4s392ms | Loss: 0.605 | Acc: 84.766% (2387/2816)              
 [=================>...............................................] 12/40   Step: 417ms | Tot: 4s809ms | Loss: 0.612 | Acc: 84.798% (2605/3072)              
 [===================>.............................................] 13/40   Step: 517ms | Tot: 5s327ms | Loss: 0.608 | Acc: 84.706% (2819/3328)              
 [=====================>...........................................] 14/40   Step: 410ms | Tot: 5s737ms | Loss: 0.591 | Acc: 85.045% (3048/3584)              
 [======================>..........................................] 15/40   Step: 411ms | Tot: 6s149ms | Loss: 0.598 | Acc: 84.818% (3257/3840)              
 [========================>........................................] 16/40   Step: 411ms | Tot: 6s560ms | Loss: 0.609 | Acc: 84.790% (3473/4096)              
 [==========================>......................................] 17/40   Step: 410ms | Tot: 6s971ms | Loss: 0.611 | Acc: 84.835% (3692/4352)              
 [===========================>.....................................] 18/40   Step: 410ms | Tot: 7s382ms | Loss: 0.619 | Acc: 84.549% (3896/4608)              
 [=============================>...................................] 19/40   Step: 529ms | Tot: 7s912ms | Loss: 0.625 | Acc: 84.457% (4108/4864)              
 [==============================>..................................] 20/40   Step: 410ms | Tot: 8s322ms | Loss: 0.630 | Acc: 84.395% (4321/5120)              
 [================================>................................] 21/40   Step: 411ms | Tot: 8s733ms | Loss: 0.623 | Acc: 84.617% (4549/5376)              
 [==================================>..............................] 22/40   Step: 410ms | Tot: 9s144ms | Loss: 0.621 | Acc: 84.535% (4761/5632)              
 [===================================>.............................] 23/40   Step: 410ms | Tot: 9s555ms | Loss: 0.628 | Acc: 84.307% (4964/5888)              
 [=====================================>...........................] 24/40   Step: 518ms | Tot: 10s73ms | Loss: 0.622 | Acc: 84.489% (5191/6144)              
 [=======================================>.........................] 25/40   Step: 411ms | Tot: 10s484ms | Loss: 0.622 | Acc: 84.453% (5405/6400)              
 [========================================>........................] 26/40   Step: 410ms | Tot: 10s894ms | Loss: 0.634 | Acc: 84.330% (5613/6656)              
 [==========================================>......................] 27/40   Step: 411ms | Tot: 11s305ms | Loss: 0.637 | Acc: 84.346% (5830/6912)              
 [===========================================>.....................] 28/40   Step: 410ms | Tot: 11s716ms | Loss: 0.639 | Acc: 84.333% (6045/7168)              
 [=============================================>...................] 29/40   Step: 411ms | Tot: 12s127ms | Loss: 0.643 | Acc: 84.281% (6257/7424)              
 [===============================================>.................] 30/40   Step: 516ms | Tot: 12s644ms | Loss: 0.640 | Acc: 84.336% (6477/7680)              
 [================================================>................] 31/40   Step: 411ms | Tot: 13s55ms | Loss: 0.639 | Acc: 84.350% (6694/7936)              
 [==================================================>..............] 32/40   Step: 410ms | Tot: 13s466ms | Loss: 0.639 | Acc: 84.375% (6912/8192)              
 [====================================================>............] 33/40   Step: 412ms | Tot: 13s878ms | Loss: 0.640 | Acc: 84.339% (7125/8448)              
 [=====================================================>...........] 34/40   Step: 410ms | Tot: 14s289ms | Loss: 0.639 | Acc: 84.421% (7348/8704)              
 [=======================================================>.........] 35/40   Step: 517ms | Tot: 14s807ms | Loss: 0.639 | Acc: 84.386% (7561/8960)              
 [========================================================>........] 36/40   Step: 372ms | Tot: 15s179ms | Loss: 0.643 | Acc: 84.256% (7765/9216)              
 [==========================================================>......] 37/40   Step: 369ms | Tot: 15s548ms | Loss: 0.640 | Acc: 84.407% (7995/9472)              
 [============================================================>....] 38/40   Step: 366ms | Tot: 15s915ms | Loss: 0.641 | Acc: 84.303% (8201/9728)              
 [=============================================================>...] 39/40   Step: 367ms | Tot: 16s283ms | Loss: 0.640 | Acc: 84.295% (8416/9984)              
 [===============================================================>.] 40/40   Step: 367ms | Tot: 16s650ms | Loss: 0.640 | Acc: 84.290% (8429/10000)
Saving with better validation accuracy model: 84.290..

Epoch: 2
 [>................................................................] 1/40   Step: 2s29ms | Tot: 0ms | Loss: 0.012 | Acc: 100.000% (256/256)              
 [=>...............................................................] 2/40   Step: 946ms | Tot: 946ms | Loss: 0.011 | Acc: 100.000% (512/512)              
 [===>.............................................................] 3/40   Step: 942ms | Tot: 1s889ms | Loss: 0.014 | Acc: 99.870% (767/768)              
 [====>............................................................] 4/40   Step: 943ms | Tot: 2s833ms | Loss: 0.014 | Acc: 99.902% (1023/1024)              
 [======>..........................................................] 5/40   Step: 1s148ms | Tot: 3s982ms | Loss: 0.016 | Acc: 99.844% (1278/1280)              
 [========>........................................................] 6/40   Step: 944ms | Tot: 4s926ms | Loss: 0.016 | Acc: 99.870% (1534/1536)              
 [=========>.......................................................] 7/40   Step: 945ms | Tot: 5s872ms | Loss: 0.015 | Acc: 99.888% (1790/1792)              
 [===========>.....................................................] 8/40   Step: 943ms | Tot: 6s815ms | Loss: 0.015 | Acc: 99.902% (2046/2048)              
 [=============>...................................................] 9/40   Step: 949ms | Tot: 7s764ms | Loss: 0.016 | Acc: 99.870% (2301/2304)              
 [==============>..................................................] 10/40   Step: 1s52ms | Tot: 8s817ms | Loss: 0.017 | Acc: 99.766% (2554/2560)              
 [================>................................................] 11/40   Step: 954ms | Tot: 9s772ms | Loss: 0.018 | Acc: 99.751% (2809/2816)              
 [=================>...............................................] 12/40   Step: 951ms | Tot: 10s723ms | Loss: 0.017 | Acc: 99.740% (3064/3072)              
 [===================>.............................................] 13/40   Step: 942ms | Tot: 11s666ms | Loss: 0.018 | Acc: 99.730% (3319/3328)              
 [=====================>...........................................] 14/40   Step: 1s64ms | Tot: 12s731ms | Loss: 0.018 | Acc: 99.721% (3574/3584)              
 [======================>..........................................] 15/40   Step: 943ms | Tot: 13s674ms | Loss: 0.018 | Acc: 99.714% (3829/3840)              
 [========================>........................................] 16/40   Step: 943ms | Tot: 14s618ms | Loss: 0.018 | Acc: 99.707% (4084/4096)              
 [==========================>......................................] 17/40   Step: 942ms | Tot: 15s561ms | Loss: 0.018 | Acc: 99.724% (4340/4352)              
 [===========================>.....................................] 18/40   Step: 946ms | Tot: 16s508ms | Loss: 0.018 | Acc: 99.718% (4595/4608)              
 [=============================>...................................] 19/40   Step: 1s50ms | Tot: 17s559ms | Loss: 0.018 | Acc: 99.712% (4850/4864)              
 [==============================>..................................] 20/40   Step: 942ms | Tot: 18s501ms | Loss: 0.018 | Acc: 99.727% (5106/5120)              
 [================================>................................] 21/40   Step: 971ms | Tot: 19s473ms | Loss: 0.019 | Acc: 99.702% (5360/5376)              
 [==================================>..............................] 22/40   Step: 954ms | Tot: 20s428ms | Loss: 0.019 | Acc: 99.698% (5615/5632)              
 [===================================>.............................] 23/40   Step: 945ms | Tot: 21s373ms | Loss: 0.019 | Acc: 99.677% (5869/5888)              
 [=====================================>...........................] 24/40   Step: 1s46ms | Tot: 22s420ms | Loss: 0.019 | Acc: 99.691% (6125/6144)              
 [=======================================>.........................] 25/40   Step: 941ms | Tot: 23s362ms | Loss: 0.019 | Acc: 99.688% (6380/6400)              
 [========================================>........................] 26/40   Step: 939ms | Tot: 24s301ms | Loss: 0.019 | Acc: 99.700% (6636/6656)              
 [==========================================>......................] 27/40   Step: 943ms | Tot: 25s245ms | Loss: 0.019 | Acc: 99.682% (6890/6912)              
 [===========================================>.....................] 28/40   Step: 1s49ms | Tot: 26s295ms | Loss: 0.019 | Acc: 99.679% (7145/7168)              
 [=============================================>...................] 29/40   Step: 940ms | Tot: 27s235ms | Loss: 0.019 | Acc: 99.690% (7401/7424)              
 [===============================================>.................] 30/40   Step: 944ms | Tot: 28s180ms | Loss: 0.018 | Acc: 99.701% (7657/7680)              
 [================================================>................] 31/40   Step: 964ms | Tot: 29s144ms | Loss: 0.018 | Acc: 99.710% (7913/7936)              
 [==================================================>..............] 32/40   Step: 949ms | Tot: 30s94ms | Loss: 0.019 | Acc: 99.719% (8169/8192)              
 [====================================================>............] 33/40   Step: 1s47ms | Tot: 31s142ms | Loss: 0.019 | Acc: 99.704% (8423/8448)              
 [=====================================================>...........] 34/40   Step: 940ms | Tot: 32s82ms | Loss: 0.019 | Acc: 99.713% (8679/8704)              
 [=======================================================>.........] 35/40   Step: 939ms | Tot: 33s22ms | Loss: 0.019 | Acc: 99.710% (8934/8960)              
 [========================================================>........] 36/40   Step: 840ms | Tot: 33s862ms | Loss: 0.019 | Acc: 99.718% (9190/9216)              
 [==========================================================>......] 37/40   Step: 945ms | Tot: 34s807ms | Loss: 0.018 | Acc: 99.726% (9446/9472)              
 [============================================================>....] 38/40   Step: 830ms | Tot: 35s637ms | Loss: 0.019 | Acc: 99.712% (9700/9728)              
 [=============================================================>...] 39/40   Step: 833ms | Tot: 36s471ms | Loss: 0.019 | Acc: 99.700% (9954/9984)              
 [===============================================================>.] 40/40   Step: 847ms | Tot: 37s319ms | Loss: 0.020 | Acc: 99.680% (9968/10000)
 [>................................................................] 1/40   Step: 1s93ms | Tot: 0ms | Loss: 0.495 | Acc: 87.891% (225/256)              
 [=>...............................................................] 2/40   Step: 417ms | Tot: 417ms | Loss: 0.621 | Acc: 83.594% (428/512)              
 [===>.............................................................] 3/40   Step: 589ms | Tot: 1s7ms | Loss: 0.620 | Acc: 83.464% (641/768)              
 [====>............................................................] 4/40   Step: 409ms | Tot: 1s416ms | Loss: 0.599 | Acc: 83.984% (860/1024)              
 [======>..........................................................] 5/40   Step: 412ms | Tot: 1s829ms | Loss: 0.545 | Acc: 85.156% (1090/1280)              
 [========>........................................................] 6/40   Step: 410ms | Tot: 2s239ms | Loss: 0.581 | Acc: 84.310% (1295/1536)              
 [=========>.......................................................] 7/40   Step: 410ms | Tot: 2s650ms | Loss: 0.593 | Acc: 84.375% (1512/1792)              
 [===========>.....................................................] 8/40   Step: 517ms | Tot: 3s167ms | Loss: 0.610 | Acc: 84.131% (1723/2048)              
 [=============>...................................................] 9/40   Step: 409ms | Tot: 3s577ms | Loss: 0.625 | Acc: 84.201% (1940/2304)              
 [==============>..................................................] 10/40   Step: 409ms | Tot: 3s986ms | Loss: 0.617 | Acc: 84.336% (2159/2560)              
 [================>................................................] 11/40   Step: 410ms | Tot: 4s396ms | Loss: 0.614 | Acc: 84.233% (2372/2816)              
 [=================>...............................................] 12/40   Step: 411ms | Tot: 4s808ms | Loss: 0.616 | Acc: 84.310% (2590/3072)              
 [===================>.............................................] 13/40   Step: 409ms | Tot: 5s217ms | Loss: 0.612 | Acc: 84.285% (2805/3328)              
 [=====================>...........................................] 14/40   Step: 516ms | Tot: 5s734ms | Loss: 0.594 | Acc: 84.542% (3030/3584)              
 [======================>..........................................] 15/40   Step: 410ms | Tot: 6s145ms | Loss: 0.601 | Acc: 84.349% (3239/3840)              
 [========================>........................................] 16/40   Step: 410ms | Tot: 6s555ms | Loss: 0.616 | Acc: 84.277% (3452/4096)              
 [==========================>......................................] 17/40   Step: 411ms | Tot: 6s966ms | Loss: 0.615 | Acc: 84.444% (3675/4352)              
 [===========================>.....................................] 18/40   Step: 410ms | Tot: 7s376ms | Loss: 0.622 | Acc: 84.223% (3881/4608)              
 [=============================>...................................] 19/40   Step: 410ms | Tot: 7s787ms | Loss: 0.630 | Acc: 84.087% (4090/4864)              
 [==============================>..................................] 20/40   Step: 516ms | Tot: 8s303ms | Loss: 0.634 | Acc: 84.082% (4305/5120)              
 [================================>................................] 21/40   Step: 410ms | Tot: 8s714ms | Loss: 0.627 | Acc: 84.189% (4526/5376)              
