cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the bwcl selected dataset.
Now try to run the BWCL algorithm
2452 boundary samples
Select 7 percent samples
Select 28000 samples
Load selected sample idx
Selected 28000 samples for a fair comparison.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/110   Step: 31s237ms | Tot: 0ms | Loss: 0.104 | Acc: 97.656% (250/256)              
 [>................................................................] 2/110   Step: 1s949ms | Tot: 1s949ms | Loss: 0.123 | Acc: 97.070% (497/512)              
 [=>...............................................................] 3/110   Step: 978ms | Tot: 2s927ms | Loss: 0.107 | Acc: 97.266% (747/768)              
 [=>...............................................................] 4/110   Step: 1s136ms | Tot: 4s64ms | Loss: 0.102 | Acc: 97.363% (997/1024)              
 [==>..............................................................] 5/110   Step: 965ms | Tot: 5s29ms | Loss: 0.107 | Acc: 97.109% (1243/1280)              
 [==>..............................................................] 6/110   Step: 955ms | Tot: 5s985ms | Loss: 0.108 | Acc: 96.875% (1488/1536)              
 [===>.............................................................] 7/110   Step: 960ms | Tot: 6s945ms | Loss: 0.107 | Acc: 96.763% (1734/1792)              
 [====>............................................................] 8/110   Step: 955ms | Tot: 7s901ms | Loss: 0.108 | Acc: 96.631% (1979/2048)              
 [====>............................................................] 9/110   Step: 1s75ms | Tot: 8s976ms | Loss: 0.102 | Acc: 96.875% (2232/2304)              
 [=====>...........................................................] 10/110   Step: 960ms | Tot: 9s937ms | Loss: 0.104 | Acc: 96.719% (2476/2560)              
 [=====>...........................................................] 11/110   Step: 961ms | Tot: 10s898ms | Loss: 0.104 | Acc: 96.555% (2719/2816)              
 [======>..........................................................] 12/110   Step: 965ms | Tot: 11s864ms | Loss: 0.102 | Acc: 96.615% (2968/3072)              
 [=======>.........................................................] 13/110   Step: 1s89ms | Tot: 12s953ms | Loss: 0.099 | Acc: 96.695% (3218/3328)              
 [=======>.........................................................] 14/110   Step: 961ms | Tot: 13s915ms | Loss: 0.096 | Acc: 96.819% (3470/3584)              
 [========>........................................................] 15/110   Step: 965ms | Tot: 14s880ms | Loss: 0.093 | Acc: 96.901% (3721/3840)              
 [========>........................................................] 16/110   Step: 962ms | Tot: 15s842ms | Loss: 0.093 | Acc: 96.875% (3968/4096)              
 [=========>.......................................................] 17/110   Step: 968ms | Tot: 16s810ms | Loss: 0.093 | Acc: 96.898% (4217/4352)              
 [==========>......................................................] 18/110   Step: 1s72ms | Tot: 17s883ms | Loss: 0.089 | Acc: 97.049% (4472/4608)              
 [==========>......................................................] 19/110   Step: 971ms | Tot: 18s855ms | Loss: 0.089 | Acc: 97.019% (4719/4864)              
 [===========>.....................................................] 20/110   Step: 960ms | Tot: 19s815ms | Loss: 0.089 | Acc: 96.953% (4964/5120)              
 [===========>.....................................................] 21/110   Step: 957ms | Tot: 20s773ms | Loss: 0.088 | Acc: 97.024% (5216/5376)              
 [============>....................................................] 22/110   Step: 1s103ms | Tot: 21s876ms | Loss: 0.088 | Acc: 96.982% (5462/5632)              
 [=============>...................................................] 23/110   Step: 969ms | Tot: 22s846ms | Loss: 0.087 | Acc: 97.045% (5714/5888)              
 [=============>...................................................] 24/110   Step: 958ms | Tot: 23s805ms | Loss: 0.086 | Acc: 97.119% (5967/6144)              
 [==============>..................................................] 25/110   Step: 965ms | Tot: 24s770ms | Loss: 0.084 | Acc: 97.203% (6221/6400)              
 [==============>..................................................] 26/110   Step: 963ms | Tot: 25s734ms | Loss: 0.083 | Acc: 97.221% (6471/6656)              
 [===============>.................................................] 27/110   Step: 1s75ms | Tot: 26s810ms | Loss: 0.082 | Acc: 97.222% (6720/6912)              
 [===============>.................................................] 28/110   Step: 960ms | Tot: 27s770ms | Loss: 0.081 | Acc: 97.280% (6973/7168)              
 [================>................................................] 29/110   Step: 965ms | Tot: 28s735ms | Loss: 0.080 | Acc: 97.279% (7222/7424)              
 [=================>...............................................] 30/110   Step: 963ms | Tot: 29s699ms | Loss: 0.080 | Acc: 97.292% (7472/7680)              
 [=================>...............................................] 31/110   Step: 952ms | Tot: 30s652ms | Loss: 0.079 | Acc: 97.354% (7726/7936)              
 [==================>..............................................] 32/110   Step: 1s66ms | Tot: 31s718ms | Loss: 0.078 | Acc: 97.388% (7978/8192)              
 [==================>..............................................] 33/110   Step: 972ms | Tot: 32s691ms | Loss: 0.078 | Acc: 97.408% (8229/8448)              
 [===================>.............................................] 34/110   Step: 964ms | Tot: 33s656ms | Loss: 0.077 | Acc: 97.449% (8482/8704)              
 [====================>............................................] 35/110   Step: 957ms | Tot: 34s614ms | Loss: 0.076 | Acc: 97.467% (8733/8960)              
 [====================>............................................] 36/110   Step: 1s70ms | Tot: 35s684ms | Loss: 0.076 | Acc: 97.483% (8984/9216)              
 [=====================>...........................................] 37/110   Step: 953ms | Tot: 36s637ms | Loss: 0.076 | Acc: 97.487% (9234/9472)              
 [=====================>...........................................] 38/110   Step: 954ms | Tot: 37s592ms | Loss: 0.075 | Acc: 97.533% (9488/9728)              
 [======================>..........................................] 39/110   Step: 982ms | Tot: 38s574ms | Loss: 0.075 | Acc: 97.516% (9736/9984)              
 [=======================>.........................................] 40/110   Step: 984ms | Tot: 39s559ms | Loss: 0.075 | Acc: 97.539% (9988/10240)              
 [=======================>.........................................] 41/110   Step: 1s67ms | Tot: 40s626ms | Loss: 0.074 | Acc: 97.571% (10241/10496)              
 [========================>........................................] 42/110   Step: 961ms | Tot: 41s588ms | Loss: 0.073 | Acc: 97.591% (10493/10752)              
 [========================>........................................] 43/110   Step: 957ms | Tot: 42s546ms | Loss: 0.072 | Acc: 97.620% (10746/11008)              
 [=========================>.......................................] 44/110   Step: 968ms | Tot: 43s514ms | Loss: 0.071 | Acc: 97.638% (10998/11264)              
 [==========================>......................................] 45/110   Step: 957ms | Tot: 44s471ms | Loss: 0.071 | Acc: 97.665% (11251/11520)              
 [==========================>......................................] 46/110   Step: 1s107ms | Tot: 45s578ms | Loss: 0.071 | Acc: 97.656% (11500/11776)              
