cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 1
Train with the cl selected dataset.
------------------ Start to select subsets ------------------
Start to select 14546 samples for a fair comparison.
Use multiple GPU to train the network.
Use 150 epochs

Epoch: 0
 [>................................................................] 1/57   Step: 39s700ms | Tot: 0ms | Loss: 2.324 | Acc: 11.328% (29/256)              
 [=>...............................................................] 2/57   Step: 2s62ms | Tot: 2s62ms | Loss: 2.327 | Acc: 13.281% (68/512)              
 [==>..............................................................] 3/57   Step: 977ms | Tot: 3s40ms | Loss: 2.325 | Acc: 14.714% (113/768)              
 [===>.............................................................] 4/57   Step: 1s169ms | Tot: 4s209ms | Loss: 2.281 | Acc: 15.527% (159/1024)              
 [====>............................................................] 5/57   Step: 969ms | Tot: 5s178ms | Loss: 2.242 | Acc: 16.953% (217/1280)              
 [=====>...........................................................] 6/57   Step: 971ms | Tot: 6s149ms | Loss: 2.201 | Acc: 19.466% (299/1536)              
 [======>..........................................................] 7/57   Step: 961ms | Tot: 7s111ms | Loss: 2.184 | Acc: 20.089% (360/1792)              
 [=======>.........................................................] 8/57   Step: 961ms | Tot: 8s72ms | Loss: 2.202 | Acc: 20.312% (416/2048)              
 [=========>.......................................................] 9/57   Step: 1s75ms | Tot: 9s148ms | Loss: 2.177 | Acc: 21.224% (489/2304)              
 [==========>......................................................] 10/57   Step: 966ms | Tot: 10s115ms | Loss: 2.172 | Acc: 21.641% (554/2560)              
 [===========>.....................................................] 11/57   Step: 967ms | Tot: 11s82ms | Loss: 2.148 | Acc: 22.372% (630/2816)              
 [============>....................................................] 12/57   Step: 962ms | Tot: 12s45ms | Loss: 2.155 | Acc: 22.363% (687/3072)              
 [=========================================================>.......] 51/57   Step: 976ms | Tot: 51s396ms | Loss: 2.002 | Acc: 28.968% (3782/13056)              
 [==========================================================>......] 52/57   Step: 972ms | Tot: 52s368ms | Loss: 1.994 | Acc: 29.199% (3887/13312)              
 [===========================================================>.....] 53/57   Step: 942ms | Tot: 53s310ms | Loss: 1.986 | Acc: 29.415% (3991/13568)              
 [============================================================>....] 54/57   Step: 864ms | Tot: 54s175ms | Loss: 1.980 | Acc: 29.572% (4088/13824)              
 [=============================================================>...] 55/57   Step: 952ms | Tot: 55s127ms | Loss: 1.974 | Acc: 29.787% (4194/14080)              
 [==============================================================>..] 56/57   Step: 844ms | Tot: 55s972ms | Loss: 1.970 | Acc: 29.946% (4293/14336)              
 [===============================================================>.] 57/57   Step: 9s830ms | Tot: 1m5s | Loss: 1.963 | Acc: 30.159% (4387/14546)
 [>................................................................] 1/40   Step: 1s69ms | Tot: 0ms | Loss: 1.958 | Acc: 32.031% (82/256)              
 [=>...............................................................] 2/40   Step: 429ms | Tot: 429ms | Loss: 2.030 | Acc: 27.930% (143/512)              
 [===>.............................................................] 3/40   Step: 599ms | Tot: 1s29ms | Loss: 1.991 | Acc: 28.776% (221/768)              
 [====>............................................................] 4/40   Step: 421ms | Tot: 1s450ms | Loss: 1.973 | Acc: 30.762% (315/1024)              
 [======>..........................................................] 5/40   Step: 435ms | Tot: 1s886ms | Loss: 1.984 | Acc: 30.625% (392/1280)              
 [========>........................................................] 6/40   Step: 424ms | Tot: 2s311ms | Loss: 2.000 | Acc: 30.924% (475/1536)              
 [=========>.......................................................] 7/40   Step: 426ms | Tot: 2s737ms | Loss: 1.975 | Acc: 31.696% (568/1792)              
 [===========>.....................................................] 8/40   Step: 421ms | Tot: 3s158ms | Loss: 1.975 | Acc: 31.348% (642/2048)              
 [=============>...................................................] 9/40   Step: 524ms | Tot: 3s683ms | Loss: 1.969 | Acc: 31.597% (728/2304)              
 [==============>..................................................] 10/40   Step: 427ms | Tot: 4s110ms | Loss: 1.977 | Acc: 31.367% (803/2560)              
 [================>................................................] 11/40   Step: 421ms | Tot: 4s532ms | Loss: 1.979 | Acc: 31.925% (899/2816)              
 [=================>...............................................] 12/40   Step: 421ms | Tot: 4s953ms | Loss: 1.977 | Acc: 31.966% (982/3072)              
 [===================>.............................................] 13/40   Step: 417ms | Tot: 5s370ms | Loss: 1.982 | Acc: 32.151% (1070/3328)              
 [=====================>...........................................] 14/40   Step: 539ms | Tot: 5s910ms | Loss: 1.988 | Acc: 31.836% (1141/3584)              
 [======================>..........................................] 15/40   Step: 417ms | Tot: 6s328ms | Loss: 1.986 | Acc: 31.693% (1217/3840)              
