cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 1
Train with the bwcl selected dataset.
Now try to run the BWCL algorithm
2452 boundary samples
Save selected sample idx
Selected 5960 samples for a fair comparison.
Use multiple GPU to train the network.
Use 150 epochs

Epoch: 0
 [>................................................................] 1/24   Step: 39s515ms | Tot: 0ms | Loss: 2.320 | Acc: 12.500% (32/256)              
 [==>..............................................................] 2/24   Step: 1s997ms | Tot: 1s997ms | Loss: 2.302 | Acc: 15.234% (78/512)              
 [=====>...........................................................] 3/24   Step: 988ms | Tot: 2s986ms | Loss: 2.257 | Acc: 16.927% (130/768)              
 [========>........................................................] 4/24   Step: 1s186ms | Tot: 4s173ms | Loss: 2.215 | Acc: 18.945% (194/1024)              
 [==========>......................................................] 5/24   Step: 975ms | Tot: 5s149ms | Loss: 2.191 | Acc: 19.141% (245/1280)              
 [=============>...................................................] 6/24   Step: 978ms | Tot: 6s127ms | Loss: 2.178 | Acc: 19.922% (306/1536)              
 [================>................................................] 7/24   Step: 976ms | Tot: 7s103ms | Loss: 2.162 | Acc: 20.312% (364/1792)              
 [==================>..............................................] 8/24   Step: 976ms | Tot: 8s80ms | Loss: 2.162 | Acc: 20.752% (425/2048)              
 [=====================>...........................................] 9/24   Step: 1s76ms | Tot: 9s156ms | Loss: 2.168 | Acc: 20.703% (477/2304)              
 [========================>........................................] 10/24   Step: 973ms | Tot: 10s130ms | Loss: 2.178 | Acc: 20.703% (530/2560)              
 [===========================>.....................................] 11/24   Step: 976ms | Tot: 11s106ms | Loss: 2.164 | Acc: 21.271% (599/2816)              
 [=============================>...................................] 12/24   Step: 973ms | Tot: 12s80ms | Loss: 2.162 | Acc: 21.029% (646/3072)              
 [================================>................................] 13/24   Step: 1s78ms | Tot: 13s158ms | Loss: 2.160 | Acc: 21.154% (704/3328)              
 [===================================>.............................] 14/24   Step: 1s | Tot: 14s159ms | Loss: 2.169 | Acc: 21.150% (758/3584)              
 [=====================================>...........................] 15/24   Step: 979ms | Tot: 15s138ms | Loss: 2.167 | Acc: 21.276% (817/3840)              
 [========================================>........................] 16/24   Step: 980ms | Tot: 16s118ms | Loss: 2.165 | Acc: 21.460% (879/4096)              
 [===========================================>.....................] 17/24   Step: 979ms | Tot: 17s98ms | Loss: 2.166 | Acc: 21.507% (936/4352)              
 [==============================================>..................] 18/24   Step: 1s80ms | Tot: 18s179ms | Loss: 2.163 | Acc: 21.441% (988/4608)              
 [================================================>................] 19/24   Step: 977ms | Tot: 19s156ms | Loss: 2.160 | Acc: 21.217% (1032/4864)              
 [===================================================>.............] 20/24   Step: 904ms | Tot: 20s61ms | Loss: 2.160 | Acc: 21.504% (1101/5120)              
 [======================================================>..........] 21/24   Step: 867ms | Tot: 20s929ms | Loss: 2.164 | Acc: 21.708% (1167/5376)              
 [========================================================>........] 22/24   Step: 1s6ms | Tot: 21s935ms | Loss: 2.164 | Acc: 21.999% (1239/5632)              
 [===========================================================>.....] 23/24   Step: 867ms | Tot: 22s803ms | Loss: 2.161 | Acc: 22.147% (1304/5888)              
 [==============================================================>..] 24/24   Step: 7s793ms | Tot: 30s596ms | Loss: 2.157 | Acc: 22.332% (1331/5960)
 [>................................................................] 1/40   Step: 1s13ms | Tot: 0ms | Loss: 2.441 | Acc: 19.922% (51/256)              
 [=>...............................................................] 2/40   Step: 428ms | Tot: 428ms | Loss: 2.426 | Acc: 21.289% (109/512)              
 [===>.............................................................] 3/40   Step: 424ms | Tot: 853ms | Loss: 2.518 | Acc: 22.005% (169/768)              
 [====>............................................................] 4/40   Step: 585ms | Tot: 1s438ms | Loss: 2.553 | Acc: 21.777% (223/1024)              
 [======>..........................................................] 5/40   Step: 425ms | Tot: 1s864ms | Loss: 2.547 | Acc: 21.328% (273/1280)              
 [========>........................................................] 6/40   Step: 438ms | Tot: 2s302ms | Loss: 2.566 | Acc: 20.703% (318/1536)              
