cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the cl selected dataset.
------------------ Start to select subsets ------------------
Start to select 14546 samples for a fair comparison.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/57   Step: 39s759ms | Tot: 0ms | Loss: 0.155 | Acc: 96.875% (248/256)              
 [=>...............................................................] 2/57   Step: 1s958ms | Tot: 1s958ms | Loss: 0.167 | Acc: 96.094% (492/512)              
 [==>..............................................................] 3/57   Step: 959ms | Tot: 2s917ms | Loss: 0.142 | Acc: 96.745% (743/768)              
 [===>.............................................................] 4/57   Step: 1s144ms | Tot: 4s62ms | Loss: 0.134 | Acc: 96.680% (990/1024)              
 [====>............................................................] 5/57   Step: 947ms | Tot: 5s9ms | Loss: 0.146 | Acc: 96.562% (1236/1280)              
 [=====>...........................................................] 6/57   Step: 956ms | Tot: 5s966ms | Loss: 0.142 | Acc: 96.549% (1483/1536)              
 [======>..........................................................] 7/57   Step: 953ms | Tot: 6s920ms | Loss: 0.138 | Acc: 96.540% (1730/1792)              
 [=======>.........................................................] 8/57   Step: 942ms | Tot: 7s863ms | Loss: 0.141 | Acc: 96.484% (1976/2048)              
 [=========>.......................................................] 9/57   Step: 1s51ms | Tot: 8s915ms | Loss: 0.135 | Acc: 96.658% (2227/2304)              
 [==========>......................................................] 10/57   Step: 943ms | Tot: 9s858ms | Loss: 0.136 | Acc: 96.641% (2474/2560)              
 [===========>.....................................................] 11/57   Step: 940ms | Tot: 10s798ms | Loss: 0.138 | Acc: 96.484% (2717/2816)              
 [============>....................................................] 12/57   Step: 945ms | Tot: 11s744ms | Loss: 0.140 | Acc: 96.419% (2962/3072)              
 [=============>...................................................] 13/57   Step: 1s53ms | Tot: 12s797ms | Loss: 0.150 | Acc: 96.244% (3203/3328)              
 [==============>..................................................] 14/57   Step: 947ms | Tot: 13s744ms | Loss: 0.148 | Acc: 96.233% (3449/3584)              
 [===============>.................................................] 15/57   Step: 959ms | Tot: 14s704ms | Loss: 0.147 | Acc: 96.276% (3697/3840)              
 [=================>...............................................] 16/57   Step: 952ms | Tot: 15s657ms | Loss: 0.146 | Acc: 96.338% (3946/4096)              
 [==================>..............................................] 17/57   Step: 961ms | Tot: 16s618ms | Loss: 0.141 | Acc: 96.438% (4197/4352)              
 [===================>.............................................] 18/57   Step: 1s65ms | Tot: 17s683ms | Loss: 0.143 | Acc: 96.354% (4440/4608)              
 [====================>............................................] 19/57   Step: 949ms | Tot: 18s633ms | Loss: 0.141 | Acc: 96.402% (4689/4864)              
 [=====================>...........................................] 20/57   Step: 952ms | Tot: 19s585ms | Loss: 0.138 | Acc: 96.426% (4937/5120)              
 [======================>..........................................] 21/57   Step: 950ms | Tot: 20s536ms | Loss: 0.139 | Acc: 96.429% (5184/5376)              
 [=======================>.........................................] 22/57   Step: 948ms | Tot: 21s484ms | Loss: 0.138 | Acc: 96.449% (5432/5632)              
 [=========================>.......................................] 23/57   Step: 1s93ms | Tot: 22s578ms | Loss: 0.137 | Acc: 96.518% (5683/5888)              
 [==========================>......................................] 24/57   Step: 941ms | Tot: 23s520ms | Loss: 0.136 | Acc: 96.517% (5930/6144)              
 [===========================>.....................................] 25/57   Step: 949ms | Tot: 24s469ms | Loss: 0.134 | Acc: 96.578% (6181/6400)              
 [============================>....................................] 26/57   Step: 951ms | Tot: 25s420ms | Loss: 0.135 | Acc: 96.559% (6427/6656)              
 [=============================>...................................] 27/57   Step: 1s65ms | Tot: 26s486ms | Loss: 0.133 | Acc: 96.629% (6679/6912)              
 [==============================>..................................] 28/57   Step: 943ms | Tot: 27s430ms | Loss: 0.132 | Acc: 96.652% (6928/7168)              
 [===============================>.................................] 29/57   Step: 942ms | Tot: 28s372ms | Loss: 0.130 | Acc: 96.673% (7177/7424)              
 [=================================>...............................] 30/57   Step: 945ms | Tot: 29s317ms | Loss: 0.129 | Acc: 96.706% (7427/7680)              
 [==================================>..............................] 31/57   Step: 946ms | Tot: 30s264ms | Loss: 0.130 | Acc: 96.686% (7673/7936)              
 [===================================>.............................] 32/57   Step: 1s53ms | Tot: 31s317ms | Loss: 0.131 | Acc: 96.655% (7918/8192)              
 [====================================>............................] 33/57   Step: 948ms | Tot: 32s266ms | Loss: 0.132 | Acc: 96.662% (8166/8448)              
 [=====================================>...........................] 34/57   Step: 938ms | Tot: 33s204ms | Loss: 0.131 | Acc: 96.657% (8413/8704)              
