cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the egdis selected dataset.
Now try to run the algorithm EGDIS with the generated sample dataset.
Selected 5966 samples
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/24   Step: 38s107ms | Tot: 0ms | Loss: 0.002 | Acc: 100.000% (256/256)              
 [==>..............................................................] 2/24   Step: 1s969ms | Tot: 1s969ms | Loss: 0.002 | Acc: 100.000% (512/512)              
 [=====>...........................................................] 3/24   Step: 962ms | Tot: 2s932ms | Loss: 0.002 | Acc: 100.000% (768/768)              
 [========>........................................................] 4/24   Step: 1s162ms | Tot: 4s95ms | Loss: 0.002 | Acc: 100.000% (1024/1024)              
 [==========>......................................................] 5/24   Step: 953ms | Tot: 5s49ms | Loss: 0.002 | Acc: 100.000% (1280/1280)              
 [=============>...................................................] 6/24   Step: 960ms | Tot: 6s10ms | Loss: 0.002 | Acc: 100.000% (1536/1536)              
 [================>................................................] 7/24   Step: 949ms | Tot: 6s959ms | Loss: 0.002 | Acc: 100.000% (1792/1792)              
 [==================>..............................................] 8/24   Step: 951ms | Tot: 7s911ms | Loss: 0.002 | Acc: 100.000% (2048/2048)              
 [=====================>...........................................] 9/24   Step: 1s59ms | Tot: 8s971ms | Loss: 0.002 | Acc: 100.000% (2304/2304)              
 [========================>........................................] 10/24   Step: 954ms | Tot: 9s925ms | Loss: 0.002 | Acc: 100.000% (2560/2560)              
 [===========================>.....................................] 11/24   Step: 954ms | Tot: 10s879ms | Loss: 0.003 | Acc: 100.000% (2816/2816)              
 [=============================>...................................] 12/24   Step: 945ms | Tot: 11s825ms | Loss: 0.003 | Acc: 100.000% (3072/3072)              
 [================================>................................] 13/24   Step: 1s55ms | Tot: 12s881ms | Loss: 0.003 | Acc: 100.000% (3328/3328)              
 [===================================>.............................] 14/24   Step: 948ms | Tot: 13s829ms | Loss: 0.003 | Acc: 100.000% (3584/3584)              
 [=====================================>...........................] 15/24   Step: 962ms | Tot: 14s792ms | Loss: 0.003 | Acc: 100.000% (3840/3840)              
 [========================================>........................] 16/24   Step: 959ms | Tot: 15s751ms | Loss: 0.003 | Acc: 100.000% (4096/4096)              
 [===========================================>.....................] 17/24   Step: 955ms | Tot: 16s706ms | Loss: 0.003 | Acc: 100.000% (4352/4352)              
 [==============================================>..................] 18/24   Step: 1s63ms | Tot: 17s770ms | Loss: 0.003 | Acc: 100.000% (4608/4608)              
 [================================================>................] 19/24   Step: 960ms | Tot: 18s731ms | Loss: 0.003 | Acc: 100.000% (4864/4864)              
 [===================================================>.............] 20/24   Step: 885ms | Tot: 19s616ms | Loss: 0.002 | Acc: 100.000% (5120/5120)              
 [======================================================>..........] 21/24   Step: 845ms | Tot: 20s462ms | Loss: 0.003 | Acc: 100.000% (5376/5376)              
 [========================================================>........] 22/24   Step: 838ms | Tot: 21s301ms | Loss: 0.003 | Acc: 100.000% (5632/5632)              
 [===========================================================>.....] 23/24   Step: 986ms | Tot: 22s288ms | Loss: 0.003 | Acc: 100.000% (5888/5888)              
 [==============================================================>..] 24/24   Step: 8s522ms | Tot: 30s810ms | Loss: 0.003 | Acc: 100.000% (5966/5966)
 [>................................................................] 1/40   Step: 1s60ms | Tot: 0ms | Loss: 0.773 | Acc: 81.641% (209/256)              
 [=>...............................................................] 2/40   Step: 431ms | Tot: 432ms | Loss: 0.852 | Acc: 79.688% (408/512)              
 [===>.............................................................] 3/40   Step: 411ms | Tot: 843ms | Loss: 0.809 | Acc: 80.990% (622/768)              
 [====>............................................................] 4/40   Step: 601ms | Tot: 1s444ms | Loss: 0.822 | Acc: 81.152% (831/1024)              
 [======>..........................................................] 5/40   Step: 406ms | Tot: 1s851ms | Loss: 0.793 | Acc: 81.484% (1043/1280)              
 [========>........................................................] 6/40   Step: 420ms | Tot: 2s272ms | Loss: 0.821 | Acc: 80.404% (1235/1536)              
 [=========>.......................................................] 7/40   Step: 418ms | Tot: 2s691ms | Loss: 0.790 | Acc: 81.083% (1453/1792)              
 [===========>.....................................................] 8/40   Step: 412ms | Tot: 3s103ms | Loss: 0.810 | Acc: 80.957% (1658/2048)              
 [=============>...................................................] 9/40   Step: 523ms | Tot: 3s627ms | Loss: 0.802 | Acc: 80.816% (1862/2304)              
 [==============>..................................................] 10/40   Step: 420ms | Tot: 4s47ms | Loss: 0.793 | Acc: 80.898% (2071/2560)              
 [================>................................................] 11/40   Step: 414ms | Tot: 4s462ms | Loss: 0.783 | Acc: 81.037% (2282/2816)              
 [=================>...............................................] 12/40   Step: 412ms | Tot: 4s874ms | Loss: 0.779 | Acc: 80.957% (2487/3072)              
 [===================>.............................................] 13/40   Step: 420ms | Tot: 5s295ms | Loss: 0.775 | Acc: 80.980% (2695/3328)              
 [=====================>...........................................] 14/40   Step: 416ms | Tot: 5s711ms | Loss: 0.767 | Acc: 81.166% (2909/3584)              
 [======================>..........................................] 15/40   Step: 531ms | Tot: 6s243ms | Loss: 0.762 | Acc: 81.198% (3118/3840)              
 [========================>........................................] 16/40   Step: 421ms | Tot: 6s664ms | Loss: 0.758 | Acc: 81.177% (3325/4096)              
 [==========================>......................................] 17/40   Step: 416ms | Tot: 7s81ms | Loss: 0.768 | Acc: 81.158% (3532/4352)              
 [===========================>.....................................] 18/40   Step: 417ms | Tot: 7s498ms | Loss: 0.770 | Acc: 81.055% (3735/4608)              
 [=============================>...................................] 19/40   Step: 410ms | Tot: 7s909ms | Loss: 0.774 | Acc: 81.209% (3950/4864)              
 [==============================>..................................] 20/40   Step: 525ms | Tot: 8s435ms | Loss: 0.775 | Acc: 81.152% (4155/5120)              
 [================================>................................] 21/40   Step: 410ms | Tot: 8s845ms | Loss: 0.779 | Acc: 81.213% (4366/5376)              
 [==================================>..............................] 22/40   Step: 417ms | Tot: 9s262ms | Loss: 0.780 | Acc: 81.143% (4570/5632)              
 [===================================>.............................] 23/40   Step: 414ms | Tot: 9s676ms | Loss: 0.783 | Acc: 81.148% (4778/5888)              
 [=====================================>...........................] 24/40   Step: 411ms | Tot: 10s88ms | Loss: 0.779 | Acc: 81.201% (4989/6144)              
 [=======================================>.........................] 25/40   Step: 413ms | Tot: 10s501ms | Loss: 0.780 | Acc: 81.172% (5195/6400)              
 [========================================>........................] 26/40   Step: 520ms | Tot: 11s22ms | Loss: 0.785 | Acc: 81.115% (5399/6656)              
 [==========================================>......................] 27/40   Step: 413ms | Tot: 11s435ms | Loss: 0.785 | Acc: 81.105% (5606/6912)              
 [===========================================>.....................] 28/40   Step: 415ms | Tot: 11s851ms | Loss: 0.784 | Acc: 81.124% (5815/7168)              
 [=============================================>...................] 29/40   Step: 432ms | Tot: 12s283ms | Loss: 0.788 | Acc: 81.061% (6018/7424)              
 [===============================================>.................] 30/40   Step: 408ms | Tot: 12s692ms | Loss: 0.790 | Acc: 81.029% (6223/7680)              
 [================================================>................] 31/40   Step: 519ms | Tot: 13s211ms | Loss: 0.791 | Acc: 81.099% (6436/7936)              
 [==================================================>..............] 32/40   Step: 414ms | Tot: 13s625ms | Loss: 0.788 | Acc: 81.128% (6646/8192)              
 [====================================================>............] 33/40   Step: 412ms | Tot: 14s38ms | Loss: 0.787 | Acc: 81.250% (6864/8448)              
 [=====================================================>...........] 34/40   Step: 412ms | Tot: 14s451ms | Loss: 0.784 | Acc: 81.284% (7075/8704)              
 [=======================================================>.........] 35/40   Step: 413ms | Tot: 14s864ms | Loss: 0.786 | Acc: 81.250% (7280/8960)              
 [========================================================>........] 36/40   Step: 383ms | Tot: 15s248ms | Loss: 0.790 | Acc: 81.174% (7481/9216)              
 [==========================================================>......] 37/40   Step: 478ms | Tot: 15s726ms | Loss: 0.789 | Acc: 81.229% (7694/9472)              
 [============================================================>....] 38/40   Step: 372ms | Tot: 16s98ms | Loss: 0.786 | Acc: 81.250% (7904/9728)              
 [=============================================================>...] 39/40   Step: 372ms | Tot: 16s471ms | Loss: 0.782 | Acc: 81.320% (8119/9984)              
 [===============================================================>.] 40/40   Step: 2s586ms | Tot: 19s57ms | Loss: 0.781 | Acc: 81.340% (8134/10000)
Saving with better validation accuracy model: 81.340..

Epoch: 1
 [>................................................................] 1/24   Step: 2s911ms | Tot: 0ms | Loss: 0.004 | Acc: 100.000% (256/256)              
 [==>..............................................................] 2/24   Step: 1s134ms | Tot: 1s134ms | Loss: 0.003 | Acc: 100.000% (512/512)              
 [=====>...........................................................] 3/24   Step: 964ms | Tot: 2s98ms | Loss: 0.003 | Acc: 100.000% (768/768)              
