cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 1
Train with the bwcl selected dataset.
Now try to run the BWCL algorithm
2452 boundary samples
Select 6 percent samples
Select 24000 samples
Save selected sample idx
Selected 24000 samples for a fair comparison.
Use multiple GPU to train the network.
Use 150 epochs

Epoch: 0
 [>................................................................] 1/94   Step: 30s938ms | Tot: 0ms | Loss: 2.378 | Acc: 11.328% (29/256)              
 [>................................................................] 2/94   Step: 1s963ms | Tot: 1s963ms | Loss: 2.347 | Acc: 11.328% (58/512)              
 [=>...............................................................] 3/94   Step: 970ms | Tot: 2s934ms | Loss: 2.314 | Acc: 14.714% (113/768)              
 [==>..............................................................] 4/94   Step: 1s130ms | Tot: 4s64ms | Loss: 2.280 | Acc: 15.234% (156/1024)              
 [==>..............................................................] 5/94   Step: 962ms | Tot: 5s27ms | Loss: 2.249 | Acc: 16.797% (215/1280)              
 [===>.............................................................] 6/94   Step: 990ms | Tot: 6s17ms | Loss: 2.227 | Acc: 18.229% (280/1536)              
 [====>............................................................] 7/94   Step: 976ms | Tot: 6s993ms | Loss: 2.219 | Acc: 18.192% (326/1792)              
 [====>............................................................] 8/94   Step: 955ms | Tot: 7s948ms | Loss: 2.223 | Acc: 18.604% (381/2048)              
 [=====>...........................................................] 9/94   Step: 1s62ms | Tot: 9s10ms | Loss: 2.226 | Acc: 19.010% (438/2304)              
 [======>..........................................................] 10/94   Step: 959ms | Tot: 9s969ms | Loss: 2.199 | Acc: 19.688% (504/2560)              
 [======>..........................................................] 11/94   Step: 959ms | Tot: 10s928ms | Loss: 2.195 | Acc: 19.957% (562/2816)              
 [=======>.........................................................] 12/94   Step: 957ms | Tot: 11s886ms | Loss: 2.182 | Acc: 20.052% (616/3072)              
 [========>........................................................] 13/94   Step: 1s63ms | Tot: 12s949ms | Loss: 2.156 | Acc: 20.883% (695/3328)              
 [========>........................................................] 14/94   Step: 959ms | Tot: 13s909ms | Loss: 2.137 | Acc: 21.596% (774/3584)              
 [=========>.......................................................] 15/94   Step: 964ms | Tot: 14s874ms | Loss: 2.111 | Acc: 22.448% (862/3840)              
 [==========>......................................................] 16/94   Step: 985ms | Tot: 15s860ms | Loss: 2.105 | Acc: 22.900% (938/4096)              
 [===========>.....................................................] 17/94   Step: 984ms | Tot: 16s844ms | Loss: 2.094 | Acc: 23.300% (1014/4352)              
 [===========>.....................................................] 18/94   Step: 1s71ms | Tot: 17s916ms | Loss: 2.083 | Acc: 23.915% (1102/4608)              
 [============>....................................................] 19/94   Step: 966ms | Tot: 18s883ms | Loss: 2.077 | Acc: 24.095% (1172/4864)              
 [=============>...................................................] 20/94   Step: 963ms | Tot: 19s847ms | Loss: 2.079 | Acc: 24.238% (1241/5120)              
 [=============>...................................................] 21/94   Step: 966ms | Tot: 20s813ms | Loss: 2.072 | Acc: 24.479% (1316/5376)              
 [==============>..................................................] 22/94   Step: 962ms | Tot: 21s775ms | Loss: 2.062 | Acc: 24.805% (1397/5632)              
 [===============>.................................................] 23/94   Step: 1s107ms | Tot: 22s882ms | Loss: 2.054 | Acc: 25.085% (1477/5888)              
 [===============>.................................................] 24/94   Step: 959ms | Tot: 23s842ms | Loss: 2.043 | Acc: 25.407% (1561/6144)              
 [================>................................................] 25/94   Step: 963ms | Tot: 24s805ms | Loss: 2.027 | Acc: 26.016% (1665/6400)              
 [=================>...............................................] 26/94   Step: 980ms | Tot: 25s786ms | Loss: 2.022 | Acc: 26.262% (1748/6656)              
 [=================>...............................................] 27/94   Step: 971ms | Tot: 26s757ms | Loss: 2.018 | Acc: 26.649% (1842/6912)              
 [==================>..............................................] 28/94   Step: 1s62ms | Tot: 27s819ms | Loss: 2.012 | Acc: 26.828% (1923/7168)              
 [===================>.............................................] 29/94   Step: 959ms | Tot: 28s779ms | Loss: 2.000 | Acc: 27.303% (2027/7424)              
 [====================>............................................] 30/94   Step: 960ms | Tot: 29s740ms | Loss: 1.996 | Acc: 27.305% (2097/7680)              
 [====================>............................................] 31/94   Step: 956ms | Tot: 30s697ms | Loss: 1.988 | Acc: 27.621% (2192/7936)              
 [=====================>...........................................] 32/94   Step: 955ms | Tot: 31s652ms | Loss: 1.977 | Acc: 27.966% (2291/8192)              
 [======================>..........................................] 33/94   Step: 1s63ms | Tot: 32s715ms | Loss: 1.972 | Acc: 28.089% (2373/8448)              
 [======================>..........................................] 34/94   Step: 963ms | Tot: 33s679ms | Loss: 1.962 | Acc: 28.539% (2484/8704)              
 [=======================>.........................................] 35/94   Step: 963ms | Tot: 34s642ms | Loss: 1.957 | Acc: 28.728% (2574/8960)              
 [========================>........................................] 36/94   Step: 992ms | Tot: 35s634ms | Loss: 1.952 | Acc: 28.852% (2659/9216)              
 [========================>........................................] 37/94   Step: 1s74ms | Tot: 36s709ms | Loss: 1.944 | Acc: 29.149% (2761/9472)              
 [=========================>.......................................] 38/94   Step: 969ms | Tot: 37s679ms | Loss: 1.936 | Acc: 29.513% (2871/9728)              
 [==========================>......................................] 39/94   Step: 969ms | Tot: 38s649ms | Loss: 1.933 | Acc: 29.698% (2965/9984)              
 [==========================>......................................] 40/94   Step: 975ms | Tot: 39s624ms | Loss: 1.929 | Acc: 29.873% (3059/10240)              
 [===========================>.....................................] 41/94   Step: 961ms | Tot: 40s585ms | Loss: 1.922 | Acc: 30.135% (3163/10496)              
 [============================>....................................] 42/94   Step: 1s88ms | Tot: 41s674ms | Loss: 1.916 | Acc: 30.339% (3262/10752)              
 [=============================>...................................] 43/94   Step: 956ms | Tot: 42s630ms | Loss: 1.913 | Acc: 30.469% (3354/11008)              
 [=============================>...................................] 44/94   Step: 959ms | Tot: 43s590ms | Loss: 1.908 | Acc: 30.646% (3452/11264)              
 [==============================>..................................] 45/94   Step: 955ms | Tot: 44s546ms | Loss: 1.907 | Acc: 30.599% (3525/11520)              
 [===============================>.................................] 46/94   Step: 1s105ms | Tot: 45s652ms | Loss: 1.903 | Acc: 30.766% (3623/11776)              
 [===============================>.................................] 47/94   Step: 974ms | Tot: 46s626ms | Loss: 1.899 | Acc: 30.876% (3715/12032)              
 [================================>................................] 48/94   Step: 959ms | Tot: 47s585ms | Loss: 1.896 | Acc: 30.965% (3805/12288)              
 [=================================>...............................] 49/94   Step: 958ms | Tot: 48s544ms | Loss: 1.891 | Acc: 31.130% (3905/12544)              
 [=================================>...............................] 50/94   Step: 959ms | Tot: 49s503ms | Loss: 1.888 | Acc: 31.312% (4008/12800)              
 [==================================>..............................] 51/94   Step: 1s73ms | Tot: 50s576ms | Loss: 1.884 | Acc: 31.480% (4110/13056)              
 [===================================>.............................] 52/94   Step: 961ms | Tot: 51s538ms | Loss: 1.882 | Acc: 31.581% (4204/13312)              
 [===================================>.............................] 53/94   Step: 958ms | Tot: 52s496ms | Loss: 1.878 | Acc: 31.781% (4312/13568)              
 [====================================>............................] 54/94   Step: 957ms | Tot: 53s454ms | Loss: 1.873 | Acc: 31.937% (4415/13824)              
 [=====================================>...........................] 55/94   Step: 963ms | Tot: 54s417ms | Loss: 1.868 | Acc: 32.102% (4520/14080)              
 [======================================>..........................] 56/94   Step: 1s82ms | Tot: 55s499ms | Loss: 1.866 | Acc: 32.136% (4607/14336)              
 [======================================>..........................] 57/94   Step: 968ms | Tot: 56s467ms | Loss: 1.863 | Acc: 32.230% (4703/14592)              
 [=======================================>.........................] 58/94   Step: 963ms | Tot: 57s430ms | Loss: 1.859 | Acc: 32.334% (4801/14848)              
 [========================================>........................] 59/94   Step: 965ms | Tot: 58s396ms | Loss: 1.855 | Acc: 32.475% (4905/15104)              
 [========================================>........................] 60/94   Step: 1s74ms | Tot: 59s470ms | Loss: 1.852 | Acc: 32.630% (5012/15360)              
 [=========================================>.......................] 61/94   Step: 957ms | Tot: 1m428ms | Loss: 1.849 | Acc: 32.704% (5107/15616)              
 [==========================================>......................] 62/94   Step: 957ms | Tot: 1m1s | Loss: 1.844 | Acc: 32.876% (5218/15872)              
 [==========================================>......................] 63/94   Step: 955ms | Tot: 1m2s | Loss: 1.840 | Acc: 33.054% (5331/16128)              
 [===========================================>.....................] 64/94   Step: 955ms | Tot: 1m3s | Loss: 1.834 | Acc: 33.221% (5443/16384)              
 [============================================>....................] 65/94   Step: 1s59ms | Tot: 1m4s | Loss: 1.830 | Acc: 33.359% (5551/16640)              
