cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the pop selected dataset.
Train with the selected 5966 samples.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/24   Step: 40s386ms | Tot: 0ms | Loss: 0.013 | Acc: 99.609% (255/256)              
 [==>..............................................................] 2/24   Step: 2s | Tot: 2s | Loss: 0.007 | Acc: 99.805% (511/512)              
 [=====>...........................................................] 3/24   Step: 967ms | Tot: 2s968ms | Loss: 0.006 | Acc: 99.870% (767/768)              
 [========>........................................................] 4/24   Step: 1s161ms | Tot: 4s130ms | Loss: 0.005 | Acc: 99.902% (1023/1024)              
 [==========>......................................................] 5/24   Step: 963ms | Tot: 5s93ms | Loss: 0.005 | Acc: 99.922% (1279/1280)              
 [=============>...................................................] 6/24   Step: 962ms | Tot: 6s56ms | Loss: 0.005 | Acc: 99.935% (1535/1536)              
 [================>................................................] 7/24   Step: 957ms | Tot: 7s13ms | Loss: 0.005 | Acc: 99.944% (1791/1792)              
 [==================>..............................................] 8/24   Step: 958ms | Tot: 7s971ms | Loss: 0.004 | Acc: 99.951% (2047/2048)              
 [=====================>...........................................] 9/24   Step: 1s52ms | Tot: 9s24ms | Loss: 0.004 | Acc: 99.957% (2303/2304)              
 [========================>........................................] 10/24   Step: 954ms | Tot: 9s979ms | Loss: 0.004 | Acc: 99.961% (2559/2560)              
 [===========================>.....................................] 11/24   Step: 964ms | Tot: 10s943ms | Loss: 0.004 | Acc: 99.964% (2815/2816)              
 [=============================>...................................] 12/24   Step: 956ms | Tot: 11s900ms | Loss: 0.004 | Acc: 99.967% (3071/3072)              
 [================================>................................] 13/24   Step: 1s69ms | Tot: 12s969ms | Loss: 0.003 | Acc: 99.970% (3327/3328)              
 [===================================>.............................] 14/24   Step: 964ms | Tot: 13s934ms | Loss: 0.003 | Acc: 99.972% (3583/3584)              
 [=====================================>...........................] 15/24   Step: 956ms | Tot: 14s890ms | Loss: 0.003 | Acc: 99.974% (3839/3840)              
 [========================================>........................] 16/24   Step: 963ms | Tot: 15s854ms | Loss: 0.003 | Acc: 99.976% (4095/4096)              
 [===========================================>.....................] 17/24   Step: 968ms | Tot: 16s822ms | Loss: 0.003 | Acc: 99.977% (4351/4352)              
 [==============================================>..................] 18/24   Step: 1s75ms | Tot: 17s898ms | Loss: 0.003 | Acc: 99.978% (4607/4608)              
 [================================================>................] 19/24   Step: 962ms | Tot: 18s860ms | Loss: 0.003 | Acc: 99.979% (4863/4864)              
 [===================================================>.............] 20/24   Step: 876ms | Tot: 19s737ms | Loss: 0.003 | Acc: 99.980% (5119/5120)              
 [======================================================>..........] 21/24   Step: 841ms | Tot: 20s578ms | Loss: 0.003 | Acc: 99.981% (5375/5376)              
 [========================================================>........] 22/24   Step: 999ms | Tot: 21s577ms | Loss: 0.003 | Acc: 99.982% (5631/5632)              
 [===========================================================>.....] 23/24   Step: 848ms | Tot: 22s425ms | Loss: 0.003 | Acc: 99.983% (5887/5888)              
 [==============================================================>..] 24/24   Step: 8s516ms | Tot: 30s942ms | Loss: 0.003 | Acc: 99.983% (5965/5966)
 [>................................................................] 1/40   Step: 1s80ms | Tot: 0ms | Loss: 0.563 | Acc: 88.672% (227/256)              
