cifar40 loaded
There are 16042 training samples and 3958 validation samples
There are 4000 test samples.
This is records for stage 2
Train with the whole dataset.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [===================================================>.............] 51/63   Step: 1s55ms | Tot: 50s253ms | Loss: 0.072 | Acc: 98.070% (12804/13056)              
 [====================================================>............] 52/63   Step: 968ms | Tot: 51s222ms | Loss: 0.071 | Acc: 98.099% (13059/13312)              
 [=====================================================>...........] 53/63   Step: 952ms | Tot: 52s174ms | Loss: 0.071 | Acc: 98.121% (13313/13568)              
 [======================================================>..........] 54/63   Step: 956ms | Tot: 53s131ms | Loss: 0.070 | Acc: 98.148% (13568/13824)              
 [=======================================================>.........] 55/63   Step: 1s62ms | Tot: 54s194ms | Loss: 0.070 | Acc: 98.161% (13821/14080)              
 [========================================================>........] 56/63   Step: 953ms | Tot: 55s147ms | Loss: 0.069 | Acc: 98.172% (14074/14336)              
 [=========================================================>.......] 57/63   Step: 950ms | Tot: 56s98ms | Loss: 0.069 | Acc: 98.198% (14329/14592)              
 [==========================================================>......] 58/63   Step: 950ms | Tot: 57s48ms | Loss: 0.069 | Acc: 98.182% (14578/14848)              
 [===========================================================>.....] 59/63   Step: 913ms | Tot: 57s961ms | Loss: 0.069 | Acc: 98.193% (14831/15104)              
 [============================================================>....] 60/63   Step: 945ms | Tot: 58s907ms | Loss: 0.068 | Acc: 98.216% (15086/15360)              
 [=============================================================>...] 61/63   Step: 843ms | Tot: 59s751ms | Loss: 0.067 | Acc: 98.245% (15342/15616)              
 [==============================================================>..] 62/63   Step: 844ms | Tot: 1m595ms | Loss: 0.067 | Acc: 98.255% (15595/15872)              
 [===============================================================>.] 63/63   Step: 9s331ms | Tot: 1m9s | Loss: 0.067 | Acc: 98.255% (15762/16042)
 [>................................................................] 1/16   Step: 1s360ms | Tot: 0ms | Loss: 0.677 | Acc: 81.641% (209/256)              
 [====>............................................................] 2/16   Step: 436ms | Tot: 436ms | Loss: 0.745 | Acc: 79.883% (409/512)              
 [========>........................................................] 3/16   Step: 421ms | Tot: 858ms | Loss: 0.741 | Acc: 79.427% (610/768)              
 [============>....................................................] 4/16   Step: 426ms | Tot: 1s284ms | Loss: 0.740 | Acc: 80.176% (821/1024)              
 [================>................................................] 5/16   Step: 421ms | Tot: 1s706ms | Loss: 0.752 | Acc: 79.922% (1023/1280)              
 [====================>............................................] 6/16   Step: 417ms | Tot: 2s123ms | Loss: 0.764 | Acc: 79.818% (1226/1536)              
 [========================>........................................] 7/16   Step: 524ms | Tot: 2s647ms | Loss: 0.759 | Acc: 80.134% (1436/1792)              
 [============================>....................................] 8/16   Step: 415ms | Tot: 3s63ms | Loss: 0.761 | Acc: 80.127% (1641/2048)              
 [================================>................................] 9/16   Step: 418ms | Tot: 3s482ms | Loss: 0.768 | Acc: 80.122% (1846/2304)              
 [====================================>............................] 10/16   Step: 417ms | Tot: 3s899ms | Loss: 0.774 | Acc: 80.117% (2051/2560)              
 [========================================>........................] 11/16   Step: 423ms | Tot: 4s322ms | Loss: 0.779 | Acc: 80.220% (2259/2816)              
 [============================================>....................] 12/16   Step: 504ms | Tot: 4s827ms | Loss: 0.785 | Acc: 80.143% (2462/3072)              
 [================================================>................] 13/16   Step: 376ms | Tot: 5s203ms | Loss: 0.767 | Acc: 80.439% (2677/3328)              
 [====================================================>............] 14/16   Step: 375ms | Tot: 5s578ms | Loss: 0.769 | Acc: 80.301% (2878/3584)              
 [========================================================>........] 15/16   Step: 374ms | Tot: 5s953ms | Loss: 0.773 | Acc: 80.286% (3083/3840)              
 [============================================================>....] 16/16   Step: 2s859ms | Tot: 8s812ms | Loss: 0.772 | Acc: 80.268% (3177/3958)
Saving with better validation accuracy model: 80.268..

Epoch: 1
 [>................................................................] 1/63   Step: 3s169ms | Tot: 0ms | Loss: 0.023 | Acc: 100.000% (256/256)              
 [=>...............................................................] 2/63   Step: 980ms | Tot: 980ms | Loss: 0.024 | Acc: 100.000% (512/512)              
 [==>..............................................................] 3/63   Step: 969ms | Tot: 1s950ms | Loss: 0.030 | Acc: 99.609% (765/768)              
 [===>.............................................................] 4/63   Step: 977ms | Tot: 2s927ms | Loss: 0.031 | Acc: 99.414% (1018/1024)              
 [====>............................................................] 5/63   Step: 975ms | Tot: 3s903ms | Loss: 0.031 | Acc: 99.531% (1274/1280)              
 [=====>...........................................................] 6/63   Step: 1s93ms | Tot: 4s997ms | Loss: 0.033 | Acc: 99.479% (1528/1536)              
 [======>..........................................................] 7/63   Step: 970ms | Tot: 5s968ms | Loss: 0.033 | Acc: 99.498% (1783/1792)              
 [=======>.........................................................] 8/63   Step: 951ms | Tot: 6s919ms | Loss: 0.032 | Acc: 99.561% (2039/2048)              
 [========>........................................................] 9/63   Step: 963ms | Tot: 7s883ms | Loss: 0.031 | Acc: 99.609% (2295/2304)              
 [=========>.......................................................] 10/63   Step: 949ms | Tot: 8s832ms | Loss: 0.032 | Acc: 99.531% (2548/2560)              
 [==========>......................................................] 11/63   Step: 1s55ms | Tot: 9s887ms | Loss: 0.032 | Acc: 99.538% (2803/2816)              
 [===========>.....................................................] 12/63   Step: 949ms | Tot: 10s837ms | Loss: 0.032 | Acc: 99.577% (3059/3072)              
 [============>....................................................] 13/63   Step: 950ms | Tot: 11s787ms | Loss: 0.032 | Acc: 99.579% (3314/3328)              
 [=============>...................................................] 14/63   Step: 947ms | Tot: 12s735ms | Loss: 0.031 | Acc: 99.581% (3569/3584)              
 [==============>..................................................] 15/63   Step: 947ms | Tot: 13s683ms | Loss: 0.031 | Acc: 99.557% (3823/3840)              
 [===============>.................................................] 16/63   Step: 1s58ms | Tot: 14s741ms | Loss: 0.031 | Acc: 99.561% (4078/4096)              
 [================>................................................] 17/63   Step: 949ms | Tot: 15s691ms | Loss: 0.031 | Acc: 99.563% (4333/4352)              
 [=================>...............................................] 18/63   Step: 949ms | Tot: 16s641ms | Loss: 0.033 | Acc: 99.523% (4586/4608)              
 [==================>..............................................] 19/63   Step: 949ms | Tot: 17s591ms | Loss: 0.032 | Acc: 99.527% (4841/4864)              
 [===================>.............................................] 20/63   Step: 964ms | Tot: 18s555ms | Loss: 0.033 | Acc: 99.512% (5095/5120)              
 [====================>............................................] 21/63   Step: 1s57ms | Tot: 19s613ms | Loss: 0.033 | Acc: 99.498% (5349/5376)              
 [=====================>...........................................] 22/63   Step: 949ms | Tot: 20s562ms | Loss: 0.033 | Acc: 99.503% (5604/5632)              
 [======================>..........................................] 23/63   Step: 950ms | Tot: 21s512ms | Loss: 0.033 | Acc: 99.490% (5858/5888)              
 [=======================>.........................................] 24/63   Step: 949ms | Tot: 22s462ms | Loss: 0.032 | Acc: 99.495% (6113/6144)              
 [========================>........................................] 25/63   Step: 1s62ms | Tot: 23s524ms | Loss: 0.032 | Acc: 99.500% (6368/6400)              
 [=========================>.......................................] 26/63   Step: 949ms | Tot: 24s474ms | Loss: 0.031 | Acc: 99.519% (6624/6656)              
 [==========================>......................................] 27/63   Step: 952ms | Tot: 25s426ms | Loss: 0.031 | Acc: 99.508% (6878/6912)              
