cifar40 loaded
There are 16042 training samples and 3958 validation samples
There are 4000 test samples.
This is records for stage 1
Train with the im wcl selected dataset.
------------------ Start to select subsets ------------------
Select 9 percent samples
Select 14437 samples
Save selected sample idx
Selected 14400 samples for a fair comparison.
Use multiple GPU to train the network.
Use 150 epochs

Epoch: 0
 [>................................................................] 1/57   Step: 31s203ms | Tot: 0ms | Loss: 3.708 | Acc: 2.344% (6/256)              
 [=>...............................................................] 2/57   Step: 1s953ms | Tot: 1s953ms | Loss: 3.704 | Acc: 3.320% (17/512)              
 [==>..............................................................] 3/57   Step: 972ms | Tot: 2s925ms | Loss: 3.690 | Acc: 3.776% (29/768)              
 [===>.............................................................] 4/57   Step: 1s159ms | Tot: 4s85ms | Loss: 3.675 | Acc: 4.297% (44/1024)              
 [====>............................................................] 5/57   Step: 958ms | Tot: 5s43ms | Loss: 3.665 | Acc: 4.141% (53/1280)              
 [=====>...........................................................] 6/57   Step: 957ms | Tot: 6s | Loss: 3.654 | Acc: 4.232% (65/1536)              
 [======>..........................................................] 7/57   Step: 956ms | Tot: 6s957ms | Loss: 3.653 | Acc: 4.464% (80/1792)              
 [=======>.........................................................] 8/57   Step: 957ms | Tot: 7s915ms | Loss: 3.644 | Acc: 4.785% (98/2048)              
 [=========>.......................................................] 9/57   Step: 1s66ms | Tot: 8s981ms | Loss: 3.625 | Acc: 5.122% (118/2304)              
 [==========>......................................................] 10/57   Step: 967ms | Tot: 9s949ms | Loss: 3.604 | Acc: 5.312% (136/2560)              
 [===========>.....................................................] 11/57   Step: 957ms | Tot: 10s906ms | Loss: 3.578 | Acc: 5.895% (166/2816)              
 [============>....................................................] 12/57   Step: 956ms | Tot: 11s863ms | Loss: 3.556 | Acc: 6.413% (197/3072)              
 [=============>...................................................] 13/57   Step: 1s71ms | Tot: 12s934ms | Loss: 3.556 | Acc: 6.761% (225/3328)              
 [==============>..................................................] 14/57   Step: 967ms | Tot: 13s902ms | Loss: 3.543 | Acc: 6.948% (249/3584)              
 [===============>.................................................] 15/57   Step: 957ms | Tot: 14s859ms | Loss: 3.517 | Acc: 7.422% (285/3840)              
 [=================>...............................................] 16/57   Step: 968ms | Tot: 15s828ms | Loss: 3.497 | Acc: 7.983% (327/4096)              
 [==================>..............................................] 17/57   Step: 967ms | Tot: 16s796ms | Loss: 3.491 | Acc: 8.088% (352/4352)              
 [===================>.............................................] 18/57   Step: 1s67ms | Tot: 17s863ms | Loss: 3.479 | Acc: 8.355% (385/4608)              
 [====================>............................................] 19/57   Step: 963ms | Tot: 18s826ms | Loss: 3.471 | Acc: 8.512% (414/4864)              
 [=====================>...........................................] 20/57   Step: 962ms | Tot: 19s789ms | Loss: 3.459 | Acc: 8.652% (443/5120)              
 [======================>..........................................] 21/57   Step: 967ms | Tot: 20s756ms | Loss: 3.455 | Acc: 8.817% (474/5376)              
 [=======================>.........................................] 22/57   Step: 1s111ms | Tot: 21s868ms | Loss: 3.446 | Acc: 9.038% (509/5632)              
 [=========================>.......................................] 23/57   Step: 952ms | Tot: 22s820ms | Loss: 3.441 | Acc: 9.120% (537/5888)              
 [==========================>......................................] 24/57   Step: 961ms | Tot: 23s782ms | Loss: 3.434 | Acc: 9.196% (565/6144)              
 [===========================>.....................................] 25/57   Step: 959ms | Tot: 24s742ms | Loss: 3.432 | Acc: 9.297% (595/6400)              
 [============================>....................................] 26/57   Step: 955ms | Tot: 25s698ms | Loss: 3.427 | Acc: 9.375% (624/6656)              
 [=============================>...................................] 27/57   Step: 1s71ms | Tot: 26s769ms | Loss: 3.415 | Acc: 9.809% (678/6912)              
 [==============================>..................................] 28/57   Step: 964ms | Tot: 27s734ms | Loss: 3.406 | Acc: 9.989% (716/7168)              
 [===============================>.................................] 29/57   Step: 960ms | Tot: 28s695ms | Loss: 3.401 | Acc: 10.170% (755/7424)              
 [=================================>...............................] 30/57   Step: 965ms | Tot: 29s660ms | Loss: 3.391 | Acc: 10.430% (801/7680)              
 [==================================>..............................] 31/57   Step: 959ms | Tot: 30s619ms | Loss: 3.381 | Acc: 10.673% (847/7936)              
 [===================================>.............................] 32/57   Step: 1s62ms | Tot: 31s682ms | Loss: 3.378 | Acc: 10.779% (883/8192)              
 [====================================>............................] 33/57   Step: 957ms | Tot: 32s639ms | Loss: 3.371 | Acc: 10.855% (917/8448)              
 [=====================================>...........................] 34/57   Step: 970ms | Tot: 33s609ms | Loss: 3.366 | Acc: 10.880% (947/8704)              
 [======================================>..........................] 35/57   Step: 959ms | Tot: 34s569ms | Loss: 3.359 | Acc: 10.949% (981/8960)              
 [=======================================>.........................] 36/57   Step: 1s67ms | Tot: 35s637ms | Loss: 3.348 | Acc: 11.155% (1028/9216)              
 [=========================================>.......................] 37/57   Step: 953ms | Tot: 36s590ms | Loss: 3.342 | Acc: 11.265% (1067/9472)              
