cifar40 loaded
There are 16042 training samples and 3958 validation samples
There are 4000 test samples.
This is records for stage 1
Train with the cl selected dataset.
------------------ Start to select subsets ------------------
Select 8 percent samples
Select 12833 samples
Selected 12800 samples.
Use multiple GPU to train the network.
Use 150 epochs

Epoch: 0
 [===============================================================>.] 50/50   Step: 980ms | Tot: 49s68ms | Loss: 3.212 | Acc: 14.969% (1916/12800)
 [>................................................................] 1/16   Step: 977ms | Tot: 0ms | Loss: 3.017 | Acc: 19.141% (49/256)              
 [====>............................................................] 2/16   Step: 461ms | Tot: 461ms | Loss: 3.079 | Acc: 19.141% (98/512)              
 [========>........................................................] 3/16   Step: 427ms | Tot: 889ms | Loss: 3.119 | Acc: 17.839% (137/768)              
 [============>....................................................] 4/16   Step: 416ms | Tot: 1s305ms | Loss: 3.096 | Acc: 17.969% (184/1024)              
 [================>................................................] 5/16   Step: 580ms | Tot: 1s885ms | Loss: 3.058 | Acc: 19.219% (246/1280)              
 [====================>............................................] 6/16   Step: 420ms | Tot: 2s306ms | Loss: 3.065 | Acc: 18.945% (291/1536)              
 [========================>........................................] 7/16   Step: 419ms | Tot: 2s725ms | Loss: 3.049 | Acc: 18.527% (332/1792)              
 [============================>....................................] 8/16   Step: 417ms | Tot: 3s142ms | Loss: 3.039 | Acc: 18.604% (381/2048)              
 [================================>................................] 9/16   Step: 415ms | Tot: 3s558ms | Loss: 3.050 | Acc: 18.793% (433/2304)              
 [====================================>............................] 10/16   Step: 422ms | Tot: 3s980ms | Loss: 3.070 | Acc: 18.359% (470/2560)              
 [========================================>........................] 11/16   Step: 523ms | Tot: 4s504ms | Loss: 3.059 | Acc: 18.679% (526/2816)              
 [============================================>....................] 12/16   Step: 396ms | Tot: 4s900ms | Loss: 3.045 | Acc: 19.010% (584/3072)              
 [================================================>................] 13/16   Step: 370ms | Tot: 5s271ms | Loss: 3.046 | Acc: 19.020% (633/3328)              
 [====================================================>............] 14/16   Step: 371ms | Tot: 5s642ms | Loss: 3.052 | Acc: 19.029% (682/3584)              
 [========================================================>........] 15/16   Step: 374ms | Tot: 6s16ms | Loss: 3.057 | Acc: 19.167% (736/3840)              
 [============================================================>....] 16/16   Step: 3s467ms | Tot: 9s484ms | Loss: 3.064 | Acc: 19.050% (754/3958)
Saving with better validation accuracy model: 19.050..

Epoch: 1
 [>................................................................] 1/50   Step: 3s169ms | Tot: 0ms | Loss: 2.829 | Acc: 23.438% (60/256)              
 [=>...............................................................] 2/50   Step: 980ms | Tot: 980ms | Loss: 2.899 | Acc: 22.461% (115/512)              
 [==>..............................................................] 3/50   Step: 971ms | Tot: 1s952ms | Loss: 2.896 | Acc: 23.438% (180/768)              
 [===>.............................................................] 4/50   Step: 967ms | Tot: 2s919ms | Loss: 2.876 | Acc: 23.438% (240/1024)              
 [=====>...........................................................] 5/50   Step: 965ms | Tot: 3s885ms | Loss: 2.881 | Acc: 23.047% (295/1280)              
 [======>..........................................................] 6/50   Step: 1s73ms | Tot: 4s959ms | Loss: 2.869 | Acc: 22.461% (345/1536)              
 [=======>.........................................................] 7/50   Step: 962ms | Tot: 5s922ms | Loss: 2.860 | Acc: 22.656% (406/1792)              
 [=========>.......................................................] 8/50   Step: 1s3ms | Tot: 6s925ms | Loss: 2.895 | Acc: 22.461% (460/2048)              
 [==========>......................................................] 9/50   Step: 978ms | Tot: 7s904ms | Loss: 2.881 | Acc: 22.960% (529/2304)              
 [===========>.....................................................] 10/50   Step: 966ms | Tot: 8s870ms | Loss: 2.876 | Acc: 22.930% (587/2560)              
 [=============>...................................................] 11/50   Step: 1s72ms | Tot: 9s943ms | Loss: 2.865 | Acc: 22.585% (636/2816)              
 [==============>..................................................] 12/50   Step: 966ms | Tot: 10s910ms | Loss: 2.856 | Acc: 22.721% (698/3072)              
 [===============>.................................................] 13/50   Step: 955ms | Tot: 11s865ms | Loss: 2.857 | Acc: 22.686% (755/3328)              
 [================>................................................] 14/50   Step: 962ms | Tot: 12s827ms | Loss: 2.862 | Acc: 22.740% (815/3584)              
 [==================>..............................................] 15/50   Step: 1s64ms | Tot: 13s891ms | Loss: 2.860 | Acc: 22.552% (866/3840)              
 [===================>.............................................] 16/50   Step: 963ms | Tot: 14s855ms | Loss: 2.845 | Acc: 22.998% (942/4096)              
 [====================>............................................] 17/50   Step: 958ms | Tot: 15s813ms | Loss: 2.836 | Acc: 23.208% (1010/4352)              
 [======================>..........................................] 18/50   Step: 986ms | Tot: 16s799ms | Loss: 2.830 | Acc: 23.199% (1069/4608)              
 [=======================>.........................................] 19/50   Step: 969ms | Tot: 17s769ms | Loss: 2.830 | Acc: 23.252% (1131/4864)              
 [========================>........................................] 20/50   Step: 1s94ms | Tot: 18s863ms | Loss: 2.835 | Acc: 23.223% (1189/5120)              
 [==========================>......................................] 21/50   Step: 953ms | Tot: 19s817ms | Loss: 2.835 | Acc: 23.177% (1246/5376)              
 [===========================>.....................................] 22/50   Step: 952ms | Tot: 20s769ms | Loss: 2.833 | Acc: 23.153% (1304/5632)              
 [============================>....................................] 23/50   Step: 957ms | Tot: 21s726ms | Loss: 2.831 | Acc: 23.183% (1365/5888)              
 [=============================>...................................] 24/50   Step: 1s74ms | Tot: 22s801ms | Loss: 2.822 | Acc: 23.421% (1439/6144)              
 [===============================>.................................] 25/50   Step: 952ms | Tot: 23s753ms | Loss: 2.813 | Acc: 23.578% (1509/6400)              
 [================================>................................] 26/50   Step: 952ms | Tot: 24s706ms | Loss: 2.805 | Acc: 23.708% (1578/6656)              
 [=================================>...............................] 27/50   Step: 953ms | Tot: 25s659ms | Loss: 2.797 | Acc: 23.987% (1658/6912)              
 [===================================>.............................] 28/50   Step: 965ms | Tot: 26s625ms | Loss: 2.796 | Acc: 24.065% (1725/7168)              
 [====================================>............................] 29/50   Step: 1s88ms | Tot: 27s714ms | Loss: 2.796 | Acc: 24.138% (1792/7424)              
 [=====================================>...........................] 30/50   Step: 954ms | Tot: 28s668ms | Loss: 2.787 | Acc: 24.245% (1862/7680)              
 [=======================================>.........................] 31/50   Step: 954ms | Tot: 29s623ms | Loss: 2.778 | Acc: 24.332% (1931/7936)              
 [========================================>........................] 32/50   Step: 958ms | Tot: 30s581ms | Loss: 2.770 | Acc: 24.316% (1992/8192)              
 [=========================================>.......................] 33/50   Step: 1s63ms | Tot: 31s645ms | Loss: 2.766 | Acc: 24.503% (2070/8448)              
 [==========================================>......................] 34/50   Step: 955ms | Tot: 32s600ms | Loss: 2.764 | Acc: 24.494% (2132/8704)              
 [============================================>....................] 35/50   Step: 955ms | Tot: 33s555ms | Loss: 2.763 | Acc: 24.531% (2198/8960)              
 [=============================================>...................] 36/50   Step: 954ms | Tot: 34s510ms | Loss: 2.761 | Acc: 24.588% (2266/9216)              
 [==============================================>..................] 37/50   Step: 957ms | Tot: 35s468ms | Loss: 2.755 | Acc: 24.673% (2337/9472)              
 [================================================>................] 38/50   Step: 1s78ms | Tot: 36s546ms | Loss: 2.752 | Acc: 24.764% (2409/9728)              
 [=================================================>...............] 39/50   Step: 985ms | Tot: 37s531ms | Loss: 2.751 | Acc: 24.700% (2466/9984)              
 [==================================================>..............] 40/50   Step: 956ms | Tot: 38s488ms | Loss: 2.747 | Acc: 24.717% (2531/10240)              
 [====================================================>............] 41/50   Step: 956ms | Tot: 39s445ms | Loss: 2.739 | Acc: 24.867% (2610/10496)              
 [=====================================================>...........] 42/50   Step: 953ms | Tot: 40s398ms | Loss: 2.737 | Acc: 24.953% (2683/10752)              
 [======================================================>..........] 43/50   Step: 1s58ms | Tot: 41s456ms | Loss: 2.736 | Acc: 24.973% (2749/11008)              
 [=======================================================>.........] 44/50   Step: 955ms | Tot: 42s412ms | Loss: 2.734 | Acc: 25.053% (2822/11264)              
 [=========================================================>.......] 45/50   Step: 958ms | Tot: 43s370ms | Loss: 2.731 | Acc: 25.156% (2898/11520)              
